hgnc_symbol	affy_hg_u133a_2
LYPLA1	203007_x_at
LYPLA1	212449_s_at
LYPLA1	
C19orf44	
KRT18P9	
KRT18P24	
FABP7	205030_at
FABP7	205029_s_at
FABP7	216192_at
SPATA31B1P	
RFC5P1	
SKA2P1	
CDC20P1	
SAMD4A	
SAMD4A	215120_s_at
SAMD4A	212845_at
SAMD4A	215495_s_at
SAMD4A	215496_at
CAVIN4	
LINC01509	
HINT3	
LINC02575	
GATD3	
GATD3	210667_s_at
GATD3	202217_at
YAP1P3	
KRT18P50	217000_at
EEF1A1P42	217142_at
LINC02955	
IFNWP15	
SEPTIN7P7	
SNORD12C	
CALHM6-AS1	
IL9RP1	
SNORD12B	
MTND2P8	
SNORD12	
PARD6B	211907_s_at
PARD6B	214827_at
PARD6B	
RRAGD	221524_s_at
RRAGD	221523_s_at
RRAGD	
CHMP5	219356_s_at
CHMP5	218085_at
CRB3P1	
NBPF21P	
LINC01797	
PGAM1P6	
PRKCE-AS1	
TMSB4XP6	216438_s_at
PSMD10P1	
ADNP-AS1	
LINC01824	
MOCS3	206141_at
RPL12P12	
CCDC184	
NAA20	
RPL7P12	
IFITM3P6	
LINC01883	
ENDOU	206605_at
ENDOU	
NDUFAB1P1	
OR4F8BP	
GABBR2	217077_s_at
GABBR2	211679_x_at
GABBR2	209991_x_at
GABBR2	209990_s_at
GABBR2	
VN1R80P	
CYP4F22	
CRNKL1	219913_s_at
HADHB	
HADHB	201007_at
EPB41L2	201719_s_at
EPB41L2	201718_s_at
EPB41L2	
ZDHHC16	
RPL7AP74	
LINC01267	
HTR6	206944_at
LINC00477	
H3-5	
SUMF1	
GUCD1	
RPL10P17	216589_at
RBP7	
RNU6ATAC9P	
MIR4308	
FDPSP3	
YJEFN3	
WDHD1	204728_s_at
WDHD1	216228_s_at
WDHD1	204727_at
WDHD1	
GPR157	
ZBTB40	
ZBTB40	203958_s_at
ZBTB40	203959_s_at
F2	205754_at
F2	
INTS13	221652_s_at
INTS13	
KRTAP13-4	
KRTAP6-2	
KRTAP6-1	
	212816_s_at
CAPN3	210944_s_at
CAPN3	211890_x_at
CAPN3	214475_x_at
CAPN3	
KRT16P3	
AMOTL1	
MEOX1	205619_s_at
MEOX1	
ENO1-AS1	
MICOS10-NBL1	
DDX10P2	
HOMER3-AS1	
RPS19P6	
NFYCP2	
RNA5SP279	
MIR4665	
RNU6-1073P	
MIR101-2	
RNU2-47P	
RN7SL98P	
RNU6-246P	
RN7SL123P	
SCARNA8	
RNU6-264P	
MTDHP2	
RNU6-319P	
BNIP3P19	
RN7SL720P	
RNU6-14P	
RN7SKP120	
RN7SL25P	
RN7SL849P	
RMRPP5	
RNU4ATAC15P	
MIR4475	
MIR4540	
MIR4476	
USHBP1	
SPRYD3	
DHX8	
DHX8	203334_at
RNU6-677P	
RNA5SP530	
CNN2P6	
RN7SL565P	
MIR4477A	
RN7SL343P	
RNA5SP283	
RN7SL462P	
MTND4LP18	
RNU6-1293P	
RNU2-5P	
RN7SL570P	
RNA5SP285	
OR7E13P	
RNA5SP286	
RN7SKP47	
RNU6-445P	
RN7SL422P	
RN7SKP59	
RNU6-1303P	
RN7SKP242	
RNU4-15P	
RNU2-36P	
RNU4-29P	
NPHP4	213471_at
NPHP4	
NPHP4	216344_at
H3P34	
RN7SKP264	
RNU6-1228P	
MIR4290	
MIR3910-1	
TRIM77	
MIR3910-2	
MIR4291	
MIR4289	
RNU6-1160P	
RN7SKP87	
	210199_at
RNU6-996P	
RNU6-329P	
RNU6-492P	
RNA5SP291	
RN7SL659P	
RNU6-1064P	
MIR7702	
RNU6-855P	
RNA5SP293	
	202858_at
MIR3927	
RNU6-432P	
RNY4P18	
RNA5SP294	
OR7E2P	215770_at
RN7SL57P	
RNA5SP295	
RN7SL430P	
RBMS3	
RBMS3	206767_at
MIR147A	
RNU6-710P	
RNU4-82P	
RN7SL302P	
RNU6-1039P	
MIR455	
MIR181A2	
MIR181B2	
CEP295	
NRON	
CACNG2	214495_at
CACNG2	
RN7SL30P	
MIR3689F	
RNU5D-2P	
RNU6ATAC	
MIR4669	
MIR3689A	
MIR3689C	
MIR3689D1	
MIR3689D2	
RN7SL328P	
MIR3689B	
MIR3689E	
MIR602	
RNU6-785P	
RIN2	
RIN2	209684_at
LINC02402	
RPSAP13	
SLC5A4	215960_at
SMOC1	
SLC2A8	218985_at
SLC2A8	
DBX2-AS1	
SLC34A2	
SLC34A2	204124_at
	220139_at
RERG-IT1	
	210667_s_at
	202217_at
	209336_at
ASB8	218841_at
ASB8	
RNF24	210706_s_at
RNF24	204669_s_at
RNF24	204668_at
LARGE1	
LARGE1	215543_s_at
LARGE1	204414_at
ZNF486	
FER1L6-AS1	
	211197_s_at
	213450_s_at
	211198_s_at
	211199_s_at
CASC11	
HEATR4	
TCF7	205254_x_at
TCF7	205255_x_at
TCF7	
MRPS36P3	
ZNF682	
ZNF682	216468_s_at
MATN2	202350_s_at
MATN2	
FTLP3	212788_x_at
RPL21P2	216479_at
MAML2	
NSFL1C	220248_x_at
NSFL1C	217831_s_at
NSFL1C	217830_s_at
NSFL1C	
	208184_s_at
	209412_at
	208514_at
DISC1FP1	
	207020_at
	208579_x_at
CBX3P7	
	208078_s_at
FEZ2	215000_s_at
FEZ2	
FEZ2	202305_s_at
FEZ2	210704_at
MTMR12P1	
MIR4300HG	
FRMD6	
PHF5CP	
CHERP	202230_s_at
CHERP	202229_s_at
CHERP	
MESTP3	
RSF1-IT2	
AQP11	
RPS26P24	
ZNF876P	
UBE2L2	
PAXBP1-AS1	
PPP1R1A	205478_at
PPP1R1A	
ARAP1-AS1	
HPRT1P3	
DDI1	
HAP1	
HAP1	211604_x_at
HAP1	211222_s_at
LINC02940	
LINC02553	
ITGB2-AS1	
TYR	206630_at
TYR	
ICOSLG	211199_s_at
ICOSLG	211197_s_at
ICOSLG	213450_s_at
ICOSLG	211198_s_at
STMN1P1	
TMEM117	
LINC01714	
OSBPL9P2	
RUNX3-AS1	
LINC02380	
HSPD1P13	
IFNAR1	204191_at
IFNAR1	
MMP8	207329_at
MMP8	
MT1XP1	
ZBTB12BP	
SULT1B1	207601_at
SULT1B1	
CLIC4	201560_at
CLIC4	201559_s_at
CLIC4	221881_s_at
CLIC4	
SMTN	
SMTN	207390_s_at
SMTN	209427_at
SCAND1	218206_x_at
HCK	208018_s_at
HCK	
MED1	
MED1	203496_s_at
MED1	203497_at
TEX49	
ARHGEF19-AS1	
DYNLL1P3	217210_at
	202661_at
SLC2A13	
SRGAP3-AS1	
SZRD1	
SZRD1	212004_at
SZRD1	212002_at
SZRD1	212003_at
SZRD1	212005_at
SLC22A13	207444_at
SLC22A13	
OCIAD1-AS1	
SMIM14	
HNRNPCP8	
LINC02719	
ZNF79	216486_x_at
ZNF79	214138_at
LINC01690	
LINC03020	
IFNAR2	204786_s_at
IFNAR2	204785_x_at
IFNAR2	
OR10A7	
FBXO43	
TMTC1	
ATP5MJ	202279_at
ATP5MJ	210532_s_at
ATP5MJ	
ANKRD17-DT	
RPL12	200088_x_at
RPL12	214271_x_at
RPL12	200809_x_at
ZNF714	
SNX18P25	
SDCBP	
SDCBP	200958_s_at
KCTD8	
HMGB1P44	
MTND3P5	
MTND6P16	
HNRNPA1P67	
LINC02261	
HMGN1P17	
PDIK1L	
SDAD1	
SDAD1	218607_s_at
LINC01339	
VN1R79P	
CTNNA1-AS1	
VN1R82P	
BNIP3P10	
ATG10-AS1	
RBBP4P6	
NECAP2	220731_s_at
NECAP2	
CILP2	
HMGCS1	221750_at
HMGCS1	205822_s_at
HMGCS1	
VDAC2P5	211662_s_at
VDAC1P13	
DHRS2	
DHRS2	214079_at
DHRS2	206463_s_at
SFXN4	
SNORA65	214271_x_at
IGFBP4	201508_at
SLC3A1	205799_s_at
SLC3A1	
NIBAN2	
RPS12P5	
PBX4	
RPL9P30	
TPRXL	
TMIGD1	
IGSF21-AS1	
MICOS10-DT	
C12orf40	
PPIAP34	
LAPTM5	201721_s_at
LAPTM5	201720_s_at
LAPTM5	
CRTC1	207159_x_at
CRTC1	213091_at
MAP1B	
MAP1B	214577_at
MAP1B	212233_at
BECN1	208945_s_at
BECN1	208946_s_at
BECN1	
LRRN1	
NPC2	
NPC2	200701_at
SLC30A2	
NANOG	220184_at
NANOG	
RPL23AP38	
RHBDF1P1	
VENTXP4	
CFAP300	
RPS24P8	
H3P11	
KCNH8	
LINC02667	
DUX4L20	216473_x_at
MMP21	
PHACTR4	
PHACTR4	219235_s_at
SLC38A1	218237_s_at
SLC38A1	
MMP27	220783_at
PPP2R2D	221772_s_at
PPP2R2D	
ARHGAP8	37117_at
ARHGAP8	205980_s_at
ARHGAP8	
DDX27	219108_x_at
DDX27	215693_x_at
DDX27	221780_s_at
DDX27	
GNAI2	201040_at
GNAI2	
ASS1P13	
KBTBD3	
ZNF93	
ZNF93	215758_x_at
ZNF93	208119_s_at
LINC02224	
TH2LCRR	
SNW1	201575_at
SNW1	215424_s_at
SNW1	
	209349_at
	208393_s_at
	209575_at
PTRH1	
ARHGAP42	
SUMO2P19	
LINC01181	
IFITM3P7	216565_x_at
ESM1	208394_x_at
ESM1	
BNIP3P27	
EEF1A1P37	
VN1R78P	
	216423_at
BNIP3P9	
BNIP3P15	
DEPTOR	218858_at
CASC2	
LINCADL	
BNIP3P17	
LAMTOR3P2	
COQ10BP2	
PSD2-AS1	
BNIP3P13	
ZNF257	210697_at
ZNF257	
LINC01950	
CNKSR1	204740_at
CNKSR1	
LINC01332	
ARL4D	203586_s_at
PRELID3BP8	
AFM	206840_at
AFM	
RGMB	
LINC01671	
CNTD1	
LINC00323	
LINC01873	
MIR3911	
ZNF492	215532_x_at
CFAP157	
RARRES2P2	
MOB4P1	
DUX4L25	216473_x_at
LINC01163	
ACTBP4	
ANXA4	
ANXA4	201301_s_at
ANXA4	201302_at
LINC01170	
SEC63P2	
CABS1	
CUZD1	220275_at
NDUFS5P6	
MTND1P7	
HOXB9	216417_x_at
CCL28	
LINC00649	
TTC16	
TMPRSS11B	
TRIM51BP	
BHLHE22-AS1	
PPIAP54	
ZNF624	
TOMM20P1	
PPIAP43	
UBXN2B	212934_at
UBXN2B	
TRIM64DP	
LINC01678	
KLHL26	219354_at
KLHL26	
LINC00319	
RANP3	
HMGN2P38	
ANKRD55	220112_at
ANKRD55	
BIRC3	210538_s_at
BIRC3	
MTG2	
ST3GAL1P1	
LINC02493	
INSYN2A	
TOR2A	
SMR3B	214565_s_at
SMR3B	207441_at
SMR3B	
MIR99AHG	
CDC25B	201853_s_at
CDC25B	
SLC35E1	
SLC35E1	79005_at
SLC35E1	222263_at
SLC35E1	220796_x_at
DUX4L23	216473_x_at
TMEM11-DT	
SLIRPP2	
CLRN3	
UBE2K	202347_s_at
UBE2K	202346_at
SPNS3	
SAR1AP2	
RPL7P36	
AGGF1P2	
PTK2B	203110_at
PTK2B	203111_s_at
PTK2B	
WDR11	218090_s_at
WDR11	
TRPC7-AS1	
CTNNA1P1	217366_at
APOBEC3H	
SPATA9	
KLHL28	
BNIP3P28	
SH2D3C	
TMEM161A	43977_at
TMEM161A	218745_x_at
TMEM161A	
COX7B2	
SKAP1-AS2	
PLD4	
ZC3H12C	
OR7H2P	
UGT2B11	211682_x_at
UGT2B11	
SEMA6A-AS1	
HOXB-AS2	
GUSBP9	
THBS4-AS1	
SHROOM3	
CRLF3	
CRLF3	205474_at
PPIC-AS1	
UBP1	218082_s_at
UBP1	
NOX4	219773_at
NOX4	
TEX33	
LINC02590	
ACYP2	
ACYP2	206833_s_at
SLC8A3	
VN1R71P	
POM121L14P	
PEX3	
PEX3	203972_s_at
PEX3	203970_s_at
MPST	203524_s_at
MPST	
JUP	201015_s_at
JUP	
SCD5	
SCD5	220232_at
TNMD	220065_at
TNMD	
DNAJB12P1	
LINC02475	
KLF3	219657_s_at
KLF3	
LINC02919	
WDPCP	
RPS18P9	
TSPAN6	209109_s_at
TSPAN6	209108_at
TSPAN6	
HSF2	209657_s_at
HSF2	211220_s_at
PRDX3	201619_at
PRDX3	209766_at
PRDX3	
	217719_at
RNU6-900P	
C22orf23	
BNIP3P25	
FRYL	212548_s_at
FRYL	212546_s_at
FRYL	
FAM110D	220430_at
TCF4-AS1	
MIR4529	
TCF4-AS2	
RPL21P126	
LINC01415	
ICMT	201609_x_at
ICMT	201611_s_at
ICMT	201610_at
PCAT18	
ARMC6	221758_at
ARMC6	
CDK9	
CDK9	203198_at
AQP4	210067_at
AQP4	210906_x_at
AQP4	210066_s_at
AQP4	210068_s_at
AQP4	
RRBP1P2	
RPL12P44	
POLR2F	
POLR2F	209511_at
RPL21P135	
EXOSC1	
AZI2	
AZI2	218043_s_at
TINAG	
LINC02058	
CCT5P1	
RBX1P2	
MARCHF3	213256_at
MARCHF3	
TDGP1	
ALG10B	
PPIAP89	
RAD21P1	
LINC01648	
MIR3960	
MIR2861	
SPIN2P1	
RNU6-935P	
FSIP2LP	
SLC9A1	209453_at
SLC9A1	
RPL5P17	
FPGS	
FPGS	202945_at
DENND10P1	221804_s_at
OR4K16P	
PSD2	
OR4U1P	
OR4L1	
RNA5SP380	
COX14	
SPRING1P2	
OR4T1P	
LINC01201	
PSMB7P1	
GTF2IP22	
OR11G1P	
OR11P1P	
ARHGAP36	
OR11H5P	
OR11H6	
OR11H7	
TTC5	
HTR1E	207404_s_at
LINC02450	
TMC2	
TBX18	
CCNT1	206967_at
CCNT1	
SOX12	204432_at
CST1	206224_at
MIR6820	
MIR4534	
PICK1	
PICK1	204746_s_at
	211988_at
	211989_at
CST4	206994_at
BASP1	202391_at
ZNF217	203739_at
ZNF217	
WNK4	
TRPC7-AS2	
ONECUT2	207676_at
ABRACL	
TOMM40P3	
TMEM171	
TREM2	219725_at
NARS1	200027_at
NARS1	
DNAAF9	
EDRF1-AS1	
C5orf15	203024_s_at
C5orf15	
CCNB1IP1	217988_at
CCNB1IP1	
NANOS1	
COX7A2L	
COX7A2L	201256_at
FANK1	
TMEM115	216267_s_at
HDAC2	201833_at
HDAC2	
PGGT1B	214202_at
PGGT1B	206288_at
PGGT1B	
GNAT1	207514_s_at
GNAT1	214286_at
GNAT1	
RN7SL191P	
DDX11	208149_x_at
DDX11	210206_s_at
DDX11	213378_s_at
DDX11	208159_x_at
DDX11	
TCP11X3P	
NXF2	220981_x_at
NXF2	220257_x_at
LDLRAP1	221790_s_at
LDLRAP1	57082_at
LDLRAP1	
HMGN2P21	
RPL37P13	
PRAC2	
MIR2117HG	
SFXN5	
KRT17P3	
TMSB15A	205347_s_at
CTHRC1P1	
ZNF209P	
BMX	206464_at
BMX	
SMAD5	205187_at
SMAD5	205188_s_at
SMAD5	
RNF207-AS1	
KYNUP2	
NEURL2	
RAI1-AS1	
LINC00601	
SH3GL1P2	
DUX4L15	216473_x_at
PANK2	218809_at
PANK2	
NGFR-AS1	
ACADSB	
ACADSB	205355_at
RBMS3-AS2	
BNIP3P32	
SMCR2	
BNIP3P23	
ZNF90	
	215996_at
EXOSC7	213648_at
EXOSC7	212627_s_at
EXOSC7	
EXOSC7	205200_at
LUC7L3	203804_s_at
LUC7L3	208835_s_at
LUC7L3	220044_x_at
LUC7L3	
SDC3	202898_at
SDC3	
ATP8B1	214594_x_at
ATP8B1	
PAFAH2	205232_s_at
PAFAH2	205233_s_at
PAFAH2	
ZNF430	206829_x_at
ALDOAP2	211617_at
DUX4L29	216473_x_at
RBM20	
ESF1	218859_s_at
RNF180	
	222257_s_at
	219962_at
BAIAP2L2	
CA5BP1	
CA5BP1	213363_at
ZNF91	
ZNF91	206059_at
XPNPEP1	208453_s_at
XPNPEP1	209045_at
XPNPEP1	
HYAL1	210619_s_at
HYAL1	
RNU6-742P	
RSL24D1P11	
LINC01897	
CA5B	
CA5B	214082_at
CA5B	207129_at
ATP6V1C1	202874_s_at
ATP6V1C1	202872_at
ATP6V1C1	202873_at
ATP6V1C1	
YDJC	
HMGN1P30	
MIR122	
MIR3591	
COMP	205713_s_at
COMP	
ALPK2	
NAA11	
NAA11	210603_at
GZMA	205488_at
DPM1	202673_at
DPM1	
MTND6P3	
EVC2	
ZCCHC10	221193_s_at
ZCCHC10	
LINC02836	
LINC01277	
CCDC116	
	221202_at
INE2	
SDF2L1	218681_s_at
AP1S2	203300_x_at
AP1S2	203299_s_at
AP1S2	
SNORA108	
RPL9P31	
BCLAF1	201101_s_at
BCLAF1	201084_s_at
BCLAF1	214499_s_at
BCLAF1	201083_s_at
BCLAF1	
MALT1-AS1	
MRPL37P1	
MIR301B	
MIR130B	
RNU6-219P	
VN1R21P	
SERINC2	
LINC01926	
KCNG1	214595_at
KCNG1	211053_at
KCNG1	
RNU2-69P	
MEIKIN	
OACYLP	
PPIL2	
PPIL2	206064_s_at
PPIL2	209299_x_at
PPIL2	214986_x_at
PPIL2	217407_x_at
PPIL2	206063_x_at
NPRL2	203246_s_at
NPRL2	210373_at
NPRL2	
SNORA79B	
BHMT	206119_at
BHMT	
WFDC13	
SNORD126	
RPPH1	
MIR3617	
SPINT4	
TEP1	205727_at
TEP1	
INO80C	
ZNF638	
ZNF638	211257_x_at
ZNF638	213775_x_at
CTSA	200661_at
CTSA	
NCALD	211685_s_at
NCALD	
YTHDC2	205836_s_at
YTHDC2	205835_s_at
YTHDC2	213077_at
YTHDC2	
XAF1	
XAF1	206133_at
RNU5F-7P	
SETP15	
PTPRM	203329_at
PTPRM	
APEX2	204408_at
GLIPR2	
ALAS2	211560_s_at
ALAS2	
BNIP3P36	
AJAP1	215789_s_at
AJAP1	215790_at
AJAP1	206460_at
AJAP1	215149_at
AJAP1	
CYP4F3	206514_s_at
CYP4F3	206515_at
CYP4F3	
CCIN	210642_at
RNU4-53P	
NAIF1	
APRG1	
PTAFR	211661_x_at
PTAFR	206278_at
KCNN2	
KCNN2	220116_at
SLC25A25-AS1	
HNRNPD	209330_s_at
HNRNPD	200073_s_at
HNRNPD	221481_x_at
HNRNPD	221480_at
HNRNPD	213359_at
HNRNPD	
LCN2	212531_at
LCN2	
NKAIN1	219438_at
NKAIN1	
ARF1P3	
TMEM123-DT	
ANXA13	208323_s_at
ANXA13	
RHOD	31846_at
RHOD	209885_at
KCTD6	
TEKT4P2	
SNRNP40	215905_s_at
SNRNP40	
RANP7	
PRAC1	
RAB5A	206113_s_at
RAB5A	209089_at
RAB5A	
YPEL1	213996_at
YPEL1	
	205091_x_at
LINC02711	
SCARNA9	
AIG1P1	
FTH1P9	
LINC02122	
HDGFL3P1	
PAGE2B	
CASC3	
CASC3	207842_s_at
LRRTM2	206408_at
LRRTM2	
PRSS23-AS1	
FEM1C	213341_at
RN7SL280P	
RAB39A	
SLC25A33	
EGFLAM-AS3	
ZNF74	205881_at
ZNF74	
PAGE2	
WDR70	219193_at
WDR70	
	221517_s_at
LINC01424	
RB1CC1	202034_x_at
RB1CC1	202033_s_at
RB1CC1	
LINC01684	
MED17	221517_s_at
MED17	
BBLN	41047_at
BBLN	222165_x_at
BBLN	204480_s_at
MTCO1P52	
MTND2P24	
MTND1P30	
GJB3	205491_s_at
GJB3	215243_s_at
GJB3	205490_x_at
VN1R90P	
NDUFAF4P3	
RAD54L2P1	
FLNA	214752_x_at
FLNA	200859_x_at
FLNA	213746_s_at
FLNA	
TRUB2	
GLB1	201576_s_at
GLB1	
LINC01756	
ABCC13	
PRR15L	219127_at
DNAJC16	
DNAJC16	212911_at
DNAJC16	217358_at
DNAJC16	212908_at
ATAD5	220223_at
DUX4L21	216473_x_at
COQ4	
COQ4	218328_at
FOXI2	
DMBT1L1	
LINC01858	
HMGB1P29	
ZNF675	
ZNF675	217547_x_at
RNU6-225P	
RPL3P6	
DUX4L51	
KLHL22	49329_at
KLHL22	221837_at
KLHL22	221838_at
KLHL22	
PAIP1	209063_x_at
PAIP1	210283_x_at
PAIP1	209064_x_at
PAIP1	213754_s_at
PAIP1	208051_s_at
PAIP1	
SLC18A2	205857_at
DDA1	218260_at
DDA1	
CPA6	
NR1D1	204760_s_at
NR1D1	31637_s_at
L3MBTL4	
SLC27A4	
ATL2	
ATL2	217580_x_at
	219931_s_at
RNY1P9	
RN7SL812P	
KRT18P5	
TM6SF2	
LIN54	
UTP6	218715_at
UTP6	
RPS10P18	
ABRAXAS2	212835_at
ABRAXAS2	212837_at
CYCSP23	
ODF1	214485_at
ODF1	
	202929_s_at
LINC00320	
SUGP2	214092_x_at
SUGP2	213505_s_at
SUGP2	64371_at
SUGP2	212001_at
SUGP2	212000_at
SUGP2	
CABIN1	202624_s_at
CABIN1	37652_at
NDUFA5P2	
RPS10P16	
MED30	
TMSB4XP4	
SHTN1	221802_s_at
SHTN1	
URM1	208101_s_at
URM1	
RNA5SP382	
KLHL33	
RPS20P20	
OSGEP	209450_at
OSGEP	
ANO10	
ANO10	218910_at
RDH10	
HEPHL1	
MIR219A2HG	
MIR219A2	
MIR219B	
ODF2-AS1	
GATA6	210002_at
GATA6	
FAM205C	
NCOA5	
SLC38A2	220924_s_at
SLC38A2	218041_x_at
SLC38A2	
GLULP4	217203_at
GLULP4	217202_s_at
YWHAZP6	
DNAJB5-DT	
WASHC5	201985_at
WASHC5	
SYF2P2	
RNU6-984P	
HSPE1P22	
MTATP6P29	
MTCO3P29	
MTND3P23	
MTND4LP7	
MTND4P15	
LINC00475	
ST8SIA5	217514_at
ST8SIA5	206258_at
ST8SIA5	
VSTM5	
RPL13P2	
EYA3	206379_at
EYA3	
SAMHD1	204502_at
SAMHD1	
IL10RB-DT	
BEND3P2	
PRSS47P	
SNX24	
SNX24	218705_s_at
URB1-AS1	
TRIM49	221154_at
LINC00205	
MIR3651	
SNORA84	
FRGCA	
NOL8	218244_at
NOL8	
LINC01426	
GPR160P2	
B4GALNT2P1	
SKAP1-AS1	
AOC2	207064_s_at
TRIM8-DT	
GPR26	
BNIP3P35	
ARHGAP28	220382_s_at
ARHGAP28	
ARHGAP28	220381_at
BNIP3P16	
LINC02210-CRHR1	208593_x_at
LINC02210-CRHR1	214619_at
LINC02210-CRHR1	211897_s_at
ATRNL1	
ATRNL1	213744_at
ATRNL1	213745_at
BRWD1-AS2	
BNIP3P8	
RPL34P33	
CBR3-AS1	
HOXB4	
LINC01859	
NPM1P10	
FOLH1B	205860_x_at
FOLH1B	217487_x_at
FOLH1B	215363_x_at
FOLH1B	211303_x_at
DAAM2-AS1	
APEX1	210027_s_at
APEX1	
TCAP	205766_at
GAPDHP73	
CDC42EP3P1	
LRRC37BP1	
LINC02876	
RPL7AP10	
ADGRG6	213094_at
ADGRG6	
PCNT	
PCNT	203660_s_at
ANKRD40	211717_at
ANKRD40	
RFESD	
XKR4-AS1	
THAP9	
THAP9	220360_at
MEF2B	205124_at
RAB38	219412_at
LINC02845	
RGS20	210138_at
RGS20	
PPP4R3B	
PPP4R3B	222270_at
CDK5RAP3	
CDK5RAP3	218740_s_at
GAL	
GAL	214240_at
ZNRF3-AS1	
KREMEN1	
LINC02627	
LIX1	
LNX1	
GNG10P1	
STK32C	
	220420_at
	219775_s_at
ARHGAP26-IT1	
WTAPP1	
TRPC6P9	
ASS1P10	
LRRC57	
TRPC6P2	
RNU6-810P	
RNU6-1219P	
MMP7	204259_at
MMP7	
PRDM6-AS1	
EMID1	213779_at
EMID1	
AK6P2	
SLCO4C1	222071_s_at
CISTR	
LINC02395	
SLC35F2	218826_at
SLC35F2	
RPL23AP60	221634_at
DNAAF4	
ITIH4	37201_at
ITIH4	206287_s_at
ITIH4	
ST8SIA4	206925_at
ST8SIA4	
UROS	
UROS	203031_s_at
APOOP4	
LARP1BP1	
GK2	215430_at
RELCH	
SQLE-DT	
MTCO1P4	
PDCL3P2	
RPL30P16	
H2AZP2	
NUDT9	218375_at
NUDT9	
RNF19A	220483_s_at
RNF19A	
VDAC1	217140_s_at
VDAC1	212038_s_at
VDAC1	
ZNF593	204175_at
LACRT	
MMP20	207599_at
MMP20	
PSMC1P10	
H3P5	
ZNF431	
RPL7P11	
SLC1A4	
SLC1A4	209611_s_at
SLC1A4	209610_s_at
SLC1A4	212810_s_at
SLC1A4	212811_x_at
FABP3	205738_s_at
FABP3	214285_at
AQP5-AS1	
CLUHP8	
TRMT10BP1	
TMED7	214658_at
TMED7	209404_s_at
TMED7	
RAB2A	208730_x_at
RAB2A	208732_at
RAB2A	208731_at
RAB2A	208733_at
RAB2A	208734_x_at
RAB2A	
NTF3	
NTF3	206706_at
LINC02756	
EPHA2	203499_at
EPHA2	
TAF11L6	
MINAR2	
RPS14P8	
RPS12P10	
MRPS36P5	
RELT	
IPO8	205701_at
IPO8	
RPL7L1P4	
ERAP2	219759_at
ERAP2	
SUPT4H1P1	
LINC01291	
MTND5P32	
LINC02613	
FAM219B	
LINC00575	
ERVK-28	
RHBDD3	204402_at
RHBDD3	217622_at
RHBDD3	
BNIP3P33	
PRDM8	
PRDM8	219835_at
LINC02780	
ARHGEF19	
GMEB2	222251_s_at
GMEB2	44146_at
BNIP3P20	
LINC01233	
USP34	212066_s_at
USP34	212065_s_at
USP34	215013_s_at
USP34	
USP34	207365_x_at
PTCD2P1	
SETP1	
VN1R91P	
BNIP3P29	
RNASE9	
SMILR	
ZNF98	
PRXL2AP2	
STK3	
STK3	211078_s_at
STK3	204068_at
CARD18	
MTCYBP41	
ZNF708	
KAZN-AS1	
TMEM135	222209_s_at
TMEM135	
EWSR1	
EWSR1	209214_s_at
EWSR1	210011_s_at
EWSR1	210012_s_at
GPR153	64942_at
GPR153	221902_at
RACGAP1P1	
FUT9	216185_at
FUT9	207696_at
FUT9	214046_at
BNIP3P22	
STMN3	218207_s_at
STMN3	
GPD1	204997_at
GPD1	213706_at
GPD1	
HDDC2	
HDDC2	203260_at
HDDC2	203259_s_at
LNX1-AS1	
BNIP3P40	
LINC00661	
KAZN	
KAZN	215138_s_at
KAZN	213752_at
KAZN	213478_at
SMR3A	214565_s_at
SMR3A	214566_at
TNFRSF6B	206467_x_at
STAP1	220059_at
STAP1	
ARFRP1	215984_s_at
ARFRP1	203174_s_at
ARFRP1	
OR6S1	
RNASE4	205158_at
RNASE4	213397_x_at
ZNF532	220617_s_at
ZNF532	
RMDN3	218126_at
RMDN3	
BNIP3P38	
TBCAP3	
	205158_at
	213397_x_at
ZNF730	
ATP10D	213238_at
ATP10D	
EGILA	
RANBP20P	
SGO1-AS1	
EDDM3DP	
NKAIN2	
EDDM3A	217568_at
EDDM3A	208143_s_at
EDDM3A	208142_at
ZNF849P	
IPO5P1	
EDDM3B	220759_at
RERE-AS1	
ADI1P3	
CALHM6	
LINC00606	
ZNF506	221626_at
ZNF506	
CHCHD2P6	217720_at
RNASE6	213566_at
ICMT-DT	
EEF1A1P17	
NCKAP5L	
CLTRN	
TMEM244	
ATP6V0D2	
RNASE1	201785_at
ITIH1	210888_s_at
ITIH1	
DHFRP6	
TNFRSF1B	203508_at
TNFRSF1B	
TARID	
RPL10	221989_at
RPL10	200725_x_at
RPL10	
RPL10	200724_at
BMP5	205430_at
BMP5	205431_s_at
RPL35AP16	
RNASE2	206111_at
ZNNT1	213776_at
SNX2	202113_s_at
SNX2	202114_at
SNX2	
RPA2P3	
HAPLN4	
TRPC6	206528_at
TRPC6	217287_s_at
TRPC6	
NACAP10	
RN7SL189P	
LINC02156	
SLC39A2	220413_at
SLC39A2	
FAM136FP	
LINC02566	
RPL34P34	
FAM83B	
GOLGA2P9	
DUX4L27	
KCNQ3	206573_at
KCNQ3	
FCF1P5	
RAB32	204214_s_at
ABI3	
COL10A1	205941_s_at
COL10A1	217428_s_at
COL10A1	
MIR6717	
DPY19L3-DT	
TPPP2	
MTDHP3	
SHMT2	214437_s_at
SHMT2	214096_s_at
SHMT2	214095_at
SHMT2	
UQCRFS1-DT	
ZNF725P	
HMGN2P17	208668_x_at
TMEM51-AS2	
ZNF728	
