hgnc_symbol	affy_hg_u95e
ZMAT4	
WIZP1	
NAV2-IT1	
BMS1P11	
GADD45G	
BCL2L1-AS1	
ABALON	
HS6ST3	82446_at
EIF3M	
EIF3M	90399_r_at
CCDC70	76259_at
TPX2	
GPR18	
KRT8P8	
KRT8P6	
ELL2P4	
VGLL1	
AMD1P4	
E2F4P1	
MTUS2	
TUBBP9	
RPL3P3	
OR7K1P	
DNAH8	
LINC02691	
OGFRP1	
ARMH4	
ARMH4	90969_s_at
CDRT15P7	
C9orf40	
RRP7A	90869_at
RRP7A	75927_r_at
RRP7A	75926_i_at
RRP7A	
ANKRD11P2	69586_f_at
ANKRD11P2	69584_at
PNMA6E	
IDSP1	
MAGEC1	
CRISPLD1	91173_at
CRISPLD1	
HABP4	77396_i_at
CCDC88C-DT	
CTDSPL2	87765_at
CTDSPL2	74875_at
CTDSPL2	73033_at
CTDSPL2	81895_at
CTDSPL2	
LHFPL1	
TNFSF13B	
EXOC5	88639_at
EXOC5	
F8	
LINC03025	85561_at
DNAL4	
LINC01924	
ZNF143	
TLE6	74288_at
TLE6	
RPL29P32	
FAM88E	89925_at
LINC01919	
LINC02834	
TMOD1	
NPTXR	
DEPDC1B	
ARIH2P1	
CBX6	
ME2	
PABPC3	
DLEU7	
MIR4298	
MIR7847	
PRR33	
TNNT3	
BRI3P3	
AMER2	80486_at
PEMT	
ATP8A2P3	
NAB1P1	
HNRNPCP10	
HDGFP1	
PRUNEP1	
PRR32	82065_at
RNF6	
HEMGN	
TCERG1P1	
CXorf51B	
APOBEC3B	
CCNB2	
AFF2	
FAM32CP	
RPL7AP32	
UBL5P1	
ZNF503-AS2	84375_at
HEXB	
R3HCC1	
RPL39P25	
ZNF519P1	
YY1	
LINC02655	
SDR42E1P4	
ASS1P3	
PALM	
ZWINT	
SLC35D2	
SLC35D2	74925_at
DNAJC19P9	
APOBEC3C	
RPS15AP3	
DIO2-AS1	
LDHAL6B	
NRDE2	84728_at
NRDE2	89872_at
NRDE2	80043_at
NRDE2	
GLCE	
THAP12P6	
	89047_at
ATP8A2	74576_at
ATP8A2	78269_at
ATP8A2	
APOBEC3F	
NEFM	73262_s_at
NEFM	
TINF2	
MEIS3P2	
LINC01975	
NMTRQ-TTG12-1	
MED31	
MED31	82706_at
APOBEC3G	
PA2G4P6	80456_s_at
OR7E31P	
MYO5BP2	
UBQLN1	82573_at
UBQLN1	
MFSD1P1	
GAREM1	
SNORA59B	
COPS2	
SEPTIN14P19	
GRID1-AS1	
PEX2	
MYLK2	
NUTM2A	
HMGN5	
POLR2E	
SMIM29	
CCDC85C	
HMGN1P31	
FAM151B	
RPL7AP66	
ATP6V1E1P2	
MIR4527HG	
LRMDA	
ZC2HC1A	
RPIAP1	
TAB1	
ZBTB7C	
CCDC152	
JMJD1C-AS1	86347_at
LINC01519	
RAB5CP1	
OTX2-AS1	
PXDNL	
NDUFA8P1	
FOXS1	77186_at
SDR42E1P3	
FAM88B	89925_at
PDSS1	91048_at
PDSS1	
TGM1	
BCL2L1	
BCL2L1	82590_at
HMGB3P30	
HSD17B3-AS1	
MOK	
USP22	
MAP7D3	79521_at
MAP7D3	82194_at
MAP7D3	74229_at
MAP7D3	
RIOK1	73522_at
RIOK1	81163_at
RIOK1	
MTREX	
MTND3P4	
MGAT3	
HSD17B3	
MGAT3-AS1	
MIEF1	
MIEF1	87342_at
PDCL3P1	
SACS	
RPL24P2	
IGLV8OR8-1	
PKIA	89517_at
PKIA	
ZNF22	
KIZ	
KIZ	78682_at
S1PR4	
RNU6-978P	
NCLN	
ANXA11	80049_at
ANXA11	
RPL3P9	
ZFHX4	
PAUPAR	
RABGGTA	
GLP1R	
LINC02546	
LINC00678	
DBX1	
MTND1P14	
RPA4	
DRC3	
DCAF12L1	81468_at
OR4M2	
OR4N4	
HIPK3	
HIPK3	88857_at
HIPK3	77713_at
RPS19BP1	80726_s_at
RPS19BP1	80728_i_at
RPS19BP1	
SETP8	
ITPR3	
CBX1P1	
OR1AA1P	
GLUD2	
TJAP1P1	
TMEM167A	86782_r_at
TMEM167A	
EEF1GP5	
SPANXA2-OT1	
LINC00583	
IL6RP1	
FGF7P8	
MRPL9P1	
RBPJP2	
CLVS1	
TEX10	89462_at
TEX10	
ANKRD10-IT1	
PARP1P1	
SPACA7BP	
TBC1D8B	
LINC00431	
LINC01917	
LINC00368	
ARHGEF7-AS2	
DNAJA1P6	
ARHGEF7-IT1	
ARHGEF7-AS1	
SLC25A18	
TEX29	
ELOCP27	
HAPLN1	
BOD1L2	74189_at
RIOK3	
KCTD12	
BTF3P11	
ACOD1	
OR4N4C	
RNA5SP477	
RPL7P44	80387_s_at
DHX9P1	
KIZ-AS1	
CLN5	84083_at
CLN5	
POTEB	
GUSBP18	
SMAD6	
ARMC1	
RPS15AP1	
NIPA1	
ZNF877P	
CAB39P1	
RNU6-192P	
LINC01150	
OVOL2	
OTX2P1	
MRPL23	
VCAN	
GRIN3A	
RUVBL2P1	
ATP6V1E1	
NDUFB5P2	
SPA17P1	
MORC4	
FBXL3	
FBXL3	78141_at
PRXL2A	
SLTM	
SNORD17	
MGME1	
MYCBP2-AS1	
RPL7AP46	
MYCBP2-AS2	
BMS1P9	
CYLC2	
ATP11AUN	
FBXO15	
APBA3	
ATP11A-AS1	
MCF2L-AS1	79866_at
SERPINE3	
GOLGA6L2	
SMCR5	
MAGEL2	
NFIL3	
NDN	
PTMAP3	
CSGALNACT2P2	77821_at
RPL15P1	
OR7E116P	
RNU7-137P	
GGCTP2	
COL15A1	
RN7SL14P	
LINC02927	
RNU2-56P	
SOX17	
MRPL23-AS1	
VBP1	
LINC01219	
RN7SKP74	
ZNF133-AS1	
LINC00851	81466_at
PET117	
SEC11B	
H19	91728_at
H19	
TCL1B	
RPL21	
LAMP5-AS1	
ALG1L11P	
BBOX1	
LAMP5	
XKR9	
TJP3	
LINC01520	
TECPR2	
TECPR2	81172_at
HNRNPA3P16	
A1CF	
NPC1	
NPC1	85795_at
NPC1	83107_at
NPC1	89343_at
DHRS1	
PSMF1	
PSMF1	67075_at
NEDD9	
IL13RA2	
BCL2L13	
BCL2L13	78066_at
BCL2L13	86567_at
ASNSP1	
METTL21C	
LUZP2	
ERCC5	
PAG1	84044_at
PAG1	
ACTG1P3	
SNPH	
VENTXP6	
ANO3-AS1	
	85369_at
ABCC10	
CAPRIN1	
CAPRIN1	78128_at
ASPH	88518_at
ASPH	
ASPH	73214_at
PHKA1	
TMEM38B	
TMEM38B	74504_at
NOP9	
MIR675	
SDCBP2	
LINC02318	
WDR7-OT1	
SLC25A52	
	82742_at
CNTNAP3C	
ZNF24	81045_at
ZNF24	
PSMC1	
	85561_at
	75184_at
BARX1	
LINC01333	
ISLR	
SLC10A2	
OXCT1	
MTND5P14	
LINC01508	
GAPDHP43	
PPIAP88	
RPL7AP47	
TXN	
STRA6	
SEC11C	
IL17D	
SECISBP2L	
CIDEB	
CIDEB	84497_at
MIR3198-1	
LINC00528	81664_at
ELOCP28	
GGACT	
MICAL3	
SLC26A8	
SMIM24	74588_at
SMIM24	
PTGER2	
MIR6869	
SIRPB2	
KCTD4	
SLITRK5	
LINC02578	
RPSAP49	
ATP11A	
MTND2P9	
JSRP1	85805_r_at
JSRP1	
FAM242F	
ATP8B5P	
CDH7	
SLC25A47	
LTB4R2	
RNU6-917P	
SIRPD	
ZNRF4	
NUTM2HP	
LTB4R	
NFIC	73325_f_at
NFIC	
MINPP1	
SNX21	
ST13P5	
SAA1	
LINC02316	
ADCY4	
PES1P2	
ANKS6	
ANKS6	83312_at
MTND5P35	
CHORDC2P	
FARSBP1	
	73421_at
TFAM	75940_at
TFAM	73124_at
TFAM	
TPGS2	
NAV2-AS6	87207_at
NAV2-AS6	87208_at
SUB1	
SUB1	81216_r_at
ZSWIM3	
RPL23AP10	
API5	
ATG2B	74984_at
ATG2B	
RNA5SP334	
PLTP	73218_at
HPS5	
KLF12	83289_at
KLF12	
TUBB4BP6	
KYNUP1	
HERC1	91668_at
HERC1	
YWHAEP3	
ALKBH5	
ARL2BPP7	
PTCSC2	
SLC25A6P2	
LINC02937	
CYSLTR2	
ZSWIM5P1	
	71471_at
WBP1LP12	
ZDHHC15	
BNIP3P4	
IGKV1OR-2	
RPS10-NUDT3	
CTSLP1	
OXGR1	
CFAP95	
LINC01992	
SRP9P1	
RPS3AP5	
MIX23P2	
EIF5AP4	
PPP1R3C	
PPIAP30	
FAM133CP	78208_at
FAM133CP	89639_at
PLA2G12B	
IL1RAPL1	
COMMD6	
DRG2	
GRID1	76415_r_at
RPS26P11	
ZBTB33	
IGHVIII-16-1	
ANKRD18EP	
KRT18P66	
RPL15P3	
TOPORSLP	
RPS6KA5	
KCTD20	
NINJ1	
RTL5	
LINC02653	
PCIF1	83725_at
PCIF1	89948_at
PCIF1	
H3P43	
LINC02671	
CD84P1	
MATR3P1	
LINC00857	
ADGRG4	
LINC00863	
LINC00863	80776_at
THSD1	
RPS27P1	
RPS7P9	
ZNF367	
FAM245A	
RNY4P24	
RSU1P3	
VPS36	76545_at
VPS36	74824_at
VPS36	89127_at
VPS36	
LINC01518	
ZNF335	
WARS2P1	
MARK2P16	
SNRPD2P1	
NUDT9P1	
EIF2S2P3	
NPAP1P3	
CDH18-AS1	
MYOF	
MYOF	80755_at
RBM22P5	
SNX30	
CAPSL	
PKMP2	
HMGN2P48	
RPL21P134	
PIGFP3	
NAP1L4P2	
RAB39B	75526_at
INTS6L-AS1	
SLIRPP1	
DNAH8-AS1	
NAP1L3	
MLN	
BARX1-DT	
RPL19P21	
HMGB3	
LINC02977	
LINC02977	67048_at
RIPK3	
FTLP1	
MMP9	
RANBP3	
RBM17P4	
VPS13A	
PLA2G4F	86055_at
PLA2G4F	
RPL29P12	
SLC12A5-AS1	
PIGCP1	
FKBP1A	
FKBP1A	74855_at
TRAPPC13	75042_at
TRAPPC13	
PABPC5-AS1	
ZNF318	
ZNF318	86485_at
IL13RA1	
FJX1	
CKAP2	
ARL14EP-DT	
CBX3P1	
CALCP	
OR4A43P	
NFATC4	
LINC02330	
UBTFL9	
TRIM77BP	
OR4C13	
GTF2H1	
GLRX5	
GTF2IP11	
BBOX1-AS1	
BBOX1-AS1	75450_at
MC4R	
LINC01903	
OR4A46P	
LINC01147	
	88904_at
PPIAP41	
AK7	75495_at
AK7	
UQCC2	67492_r_at
UQCC2	
WT1	
SLC4A11	80864_at
SLC4A11	
TMX3	83929_at
TMX3	
DAAM2	
LINC00642	
PPP1R13B	
HAUS2	70349_at
HAUS2	77024_at
HAUS2	
LINC00345	
TPTE2P3	
KRT17P7	
BMS1	
MRPS31P4	
SLC6A14P2	
SUGT1	
TPT1P15	
SLC6A14P1	
PPIAP78	
KRT18P56	
ACTBP1	
CCNB3P1	
ZSWIM7	
OR5AW1P	
GZMK	
RADX	
MIR648	
RHEBP3	
GUSBP13	
ARL2BPP10	
NBPF22P	
	76491_at
MIR4280HG	
RPL31P9	
ARSB	
RMC1	
MIR3159	
HHEX	
LDHA	
HNRNPA1L2	
DAOA	
LINC01640	
WHAMMP3	70133_at
WHAMMP3	
CCDC33	
RPL21P90	
MIR4764	
SNORA50B	
DUSP8P1	
LARGE-IT1	
LARGE-AS1	
CCSER2	74676_at
CCSER2	
NOX5	
CT83	
RBM22P4	
OR13K1P	
SUPT3H	
SPANXA2	
NECAB3	
MBNL2	
RNU6-114P	
MIR651	
SNORA48B	
CENPK	68747_at
CENPK	
MIR4770	
MIR548AX	
RNU6-146P	
RN7SL658P	
GOLGA5	
MIR548AM	
RNA5SP499	
RN7SKP183	
RNU6-133P	
RNA5SP500	
MIR4666B	
MIR6134	
RNU6-641P	
RNU6-591P	
TRMU	
OR4C45	
RNU6-49P	
MIR548AJ2	
RNU7-7P	
RNU6-1087P	
RN7SL732P	
MIR3937	
RNU7-164P	
RNU6-1124P	
RNU6-630P	
MIR221	
RNU6-50P	
MIR222	
SNORA11	
RNU6-421P	
MIR532	
MIR188	
MIR500A	
MIR362	
MIR501	
MIR500B	
MIR660	
MIR502	
RNU6-434P	
RN7SL799P	
MIR223	
SNORD3E	
LINC02742	
MMUT	
MIR8088	
MIR4536-2	
MIR676	
RNU6-1078P	
RNU6-562P	
MIR4536-1	
RNA5SP509	
RNU6-1044P	
MIR4328	
RN7SL388P	
RNU2-68P	
RN7SL790P	
MIR1321	
RNU6-867P	
RNU2-26P	
RNU6-332P	
RNA5SP510	
MIR548M	
MIR384	
MIR325	
RNU1-112P	
RNA5SP508	
OR4C14P	
MIR361	
RNU6-974P	
RNU6-995P	
NAV2-AS5	
RNU6-345P	
RNU6-493P	
RNU6-394P	
RN7SKP194	
RNU6-309P	
MIR374C	
RN7SL648P	
GPR65	
TRAM2	
RNU6-648P	
RN7SL74P	
AIPL1	
RRAS2	
MIR545	
SNORA35B	
MIR374A	
MIR421	
MIR374B	
RNU6-555P	
TMEM260	
RN7SL379P	
RNU6-1323P	
ZFAND3-DT	
MIR548AN	
RNU6-154P	
RNU6-207P	
FTH1P5	
MIR3672	
PDE9A-AS1	
RNU6-1015P	
LINC-ROR	
LINC00322	
MIR1277	
RN7SKP31	
MIR504	
MIR934	
RNU6-3P	
RN7SKP149	
REEP3	71844_at
REEP3	75437_at
REEP3	81594_at
RNA5SP517	
SIK1	
RNA5SP516	
STK38	78801_at
MIR514A2	
MIR514A1	
RN7SKP81	
MIR320D2	
RN7SL325P	
CTBP2P3	
MIR892C	
MIR514A3	
MIR890	
RNU6-985P	
MIR888	
MIR892A	
SS18L2P2	
MIR892B	
MIR891B	
RNU1-115P	
MIR510	
RNU6-383P	
MIR891A	
MIR4330	
RN7SKP267	
CYP11A1	
RN7SKP189	
FAM32DP	
RNA5SP525	
RNU6-764P	
MIR513C	
MIR513B	
MIR105-1	
LINC01912	
MIR513A1	
MIR767	
MIR513A2	
MIR105-2	
MIR506	
MIR507	
MIR508	
MIR514B	
MIR509-2	
MIR509-3	
MIR509-1	
RNU6-382P	
NICN2P	
RN7SL785P	
DHFRP1	
SNORA11C	
BDP1P	
ZIC2	71325_f_at
ZIC2	71328_f_at
ZIC2	
LINC01908	
NPM1P49	
RNLS	
TINCR	
LINC01560	
NUS1P1	
RBM22P1	
SYN1	
GNA15-DT	
LINC00554	
NDUFA12P1	
ASNSP3	
GNG7	
CDH20	
RPL15P18	
ARHGAP19-SLIT1	
ARHGAP19-SLIT1	83728_at
ZIC5	
LINC00313	80220_at
LINC00313	
LINC00313	72192_at
BTBD9	
HSF2BP	
LNX2	72413_at
NRG3-AS1	
SNRPEP4	
SDHCP2	
TLL2	
YJU2	
	75576_at
NPM1P4	
GSX1	
PPIAP46	
PLUT	
RNU6-73P	
PDX1	
LINC02255	
SEMA7A	84610_at
SEMA7A	
POLR1D	
POLR1D	91691_at
POLR1D	71908_at
SALRNA2	
GNA15	
SKOR1	
RPL31P1	
H2BC12L	
MIR6070	
LINC02726	
OR4A45P	
WBP2P1	
DNMT3L	69199_at
DNMT3L	83741_at
DNMT3L	
OR4A42P	
MTL3P	
THAP12P4	
OR4A49P	
OR4C4P	
OR2BH1P	
RPL34P22	
RPL30P14	
LINC01909	
PDZD2	
SPON1	
	86267_at
MIR4769	
ELK1	
PTPN2	
GGNBP1	
MARK2P15	
LIG4	91213_at
LIG4	
NRBF2	
THAP10	
NPM1P26	
LINC02309	
PGK2	
DYDC1	
LINC01232	
RBBP4P3	
EEF1B2P5	
SAFB	
GALC	
LINC00449	
LINC01039	
CFL1P8	
CD83	
MIR4306	
CLYBL-AS2	
CLYBL-AS1	
EIF4A2P5	
CORO2B	
CLYBL	89705_at
CLYBL	
OR4R1P	
UXT	78679_at
UXT	
MIR6881	
DNMT3L-AS1	
AIRE	
UBL7	
MADD	
ITGBL1	
ITGBL1	88957_at
ITGBL1	76571_at
NANOGP3	
CYP2C19	
RPL37P15	
TBC1D22B	
C20orf144	89962_at
THAP12P7	
COX6CP8	
E2F1	
ELOVL5	
UXT-AS1	
UXT-AS1	68136_at
TNKS2	
CXXC1P1	
AMD1P3	
FOXB1	
SULF1	
SULF1	68329_at
PXMP4	85770_at
SMSP1	
WASF4P	
HNRNPA1P45	
RPL7P57	
OR11J2P	
TIMP1	
MESTP2	
FAM136EP	
GCHFR	
LINC02925	
GRAMD4	
PFKL	
EGFLAM-AS2	
CCNH	71416_at
CCNH	
CA12	
RPL31P2	
ZNF341-AS1	
CHMP4B	77390_at
CHMP4B	80658_at
LINC02628	
KCNK5	72628_at
KCNK5	76463_at
GAPDHP28	
MKNK2P1	
EIF4A1P8	
ZMYM3	
EIF1P5	
CRTAC1	77578_at
CRTAC1	
RN7SL666P	
PPIAP21	
TCTE1	85563_at
TCTE1	
FBXO39	
SUPT20H	
L3MBTL1	
L3MBTL1	77816_at
HMGA1	
LARGE1-AS1	
CELSR1	
NATD1	
MTND2P12	
LINC02088	
RPS16P8	
LINC02087	
SYPL1P2	
DPRXP2	
B3GNTL1P2	
CPD	89298_at
CPD	
RNF8	
IQCH-AS1	85999_at
IQCH-AS1	
SINHCAFP2	
TMCO5B	
RPS3AP49	
DHTKD1	
ZNF396	
MAP2K5-DT	
MYO1E	
UBA52P9	
LINC01410	
BDKRB1	
PHLPP1	
NT5ELP	
NME2P3	
LINC02957	
RANGAP1	
NUDT19P4	
CENPQ	
CNTNAP3P1	
CDCA4	
NDUFB4P2	
CDK2AP2P3	
ZSWIM6	67597_at
ZSWIM6	78484_at
STX17-DT	
FKBP4P8	
MAMDC2	76703_at
RUNX2	
RUNX2	73682_at
CYP26C1	
WARS1	
LINC02110	
RPL5P15	
RASSF4	72720_at
RASSF4	
ITGA2	
UBL7-DT	
UBL7-DT	87158_at
CDH19	
CFAP410	
MYO1D	
IFNWP18	
RAD23B	
GEMIN8P1	
SPESP1	
HNRNPMP1	
DEPDC1P2	
HNRNPA1P15	
KRT8P9	
RPS20P24	
EWSAT1	
SAFB2	
EP400P1	
EP400P1	73680_at
TRPM2-AS	
LRRC3-DT	
LINC02872	
LRRC3	
LINC00683	
RAB28P4	
PHB1P7	
PIK3AP1	
TCF3P1	
MTCYBP21	
MTND6P21	
MTND5P1	
LMX1B	85576_r_at
TSPEAR	
BUB1B-PAK6	
IP6K3	
RAB8B	88528_at
RAB8B	
EIF6	
CCND3P2	
LINC02565	
DLGAP1-AS3	
HNRNPA1P7	
ITGB1BP2	
RAC1P1	
RPS2P6	
GCGR	
SMIM21	
NUFIP1P1	
RBBP4P4	
TREML4	
DDX51	
TSPEAR-AS1	
CAPS	
TSPEAR-AS2	
CPN1	
KRTAP10-1	
POLR2M	
KRTAP10-2	
BID	
B3GAT2	
C18orf21	
ZCRB1P1	
RHOG2P	
KRTAP10-3	
PABPN1P1	
KRTAP10-5	
INGX	
KRTAP10-6	
SOCS6P1	
KRTAP10-7	
CXCR3	
KRTAP10-8	
KRTAP10-10	
RPL36AP6	
KRTAP10-11	
KRTAP12-4	
KRTAP12-3	
KRTAP12-2	
DBIP1	
IMMTP1	
KRTAP12-1	
SAYSD1	
KRTAP12-6P	
KRTAP10-12	
DAPK1	
CLIC2	83452_at
CLIC2	
DLK2	
ANKRD2	
KRTAP10-13P	
UBE2G2	
UBE2G2	76889_at
PCNA	
INSR	
TWF1P2	
PHF10P1	
SRD5A2P1	
TMLHEP1	
IFITM8P	
MIR1184-2	
NOC4L	
MIR1184-3	
H2AB3	
	75701_r_at
TMLHE-AS1	
C8orf34	
ARIH1	
APBB1IP	81690_at
APBB1IP	
KCTD1	
KCTD1	68868_at
TMLHE	81818_at
TMLHE	
BLMH	
MCRIP1	
CDC5L	
CDS2	
CDS2	76836_at
AMD1P2	
DPH3P2	
VAMP7	
LINC02664	
FGFBP3	
PTTG1IP	
CRISP2	
LINC02361	
GALNT9	
UBE2D3P1	
PROKR2	
SLC39A6	
RNA5-8SP7	
LINC00658	
LINC00658	88697_at
LINC00967	
TIMP3	
CA3	
ELOCP24	
TRPC6P1	
SLX9	
PLCB2	
WASIR1	
DDX11L16	
CRELD2	
REXO1L5P	
OPN1LW	
KDM4B	
KDM4B	79679_at
NARS1P2	
	87654_at
IGHV3-64D	
NRBF2P1	
AIDAP3	
HNF4G	
HNF4G	81562_at
IGHVII-30-21	
RPL23AP77	
PEBP1P1	
ZBTB14	
SHLD2P2	
TEX28P2	
GRAPLDR	
LINC00163	
	77597_at
OPN1MW	
LINC00165	
PICSAR	
ZNF830	
SNX5	
SNX5	81046_at
SSR4P1	
LINC00334	
IGHV3-25	84857_at
NSRP1	78528_at
NSRP1	
NSRP1	72871_at
POFUT2	
LGMN	
PPP1R27	
ZNF451-AS1	
TEX28P1	
JMY	72316_at
JMY	
LINC01109	
TDGF1P5	
BPNT2	78089_r_at
BPNT2	91709_at
BPNT2	83954_r_at
BPNT2	
TEX28P3	
LINC01879	
NPM1P2	
TKTL1	
GALR1	
LAP3P1	
PKHD1	
RPS27AP9	
SETP21	
REXO1L11P	
HIGD1AP18	
GDNF	
LINC02849	
LINC01901	
RBIS	
ZNF521	
RPS2P25	
RPL17P22	
GLRX	
UGGT2	79690_at
UGGT2	
UGGT2	82217_at
LINC02974	
SCML2P1	
PA2G4P3	
AKR1B10P2	
IMPACT	82972_at
IMPACT	
SERINC5	
SNORA70	
FAM50A	
CELF5	
IL6STP1	
SMURF2P1	79221_at
NXN	86026_at
COMMD7	
NPM1P6	
LINC02605	
PARVB	
LINC00315	
LINC00316	
PCBP3-AS1	
STAU2	91498_at
STAU2	
PAK5	
PCBP3	
PCBP3	68853_at
LINC02856	
SDHCP1	
CBLN2	
MIR6858	
PLXNA3	78835_at
PLXNA3	82962_at
PLXNA3	
GNRH2	
MTND5P21	
	71411_g_at
	71409_at
NIPBL	67590_at
NIPBL	
CBX3P8	
ZNF407-AS1	
PIGG	
TRIM51DP	
SNORD3B-1	90167_at
OR4C1P	
HNRNPA3P9	
OR5D15P	
LINC02740	
OR4F4	
ITGA11	
OR4G2P	
VAV1	
TEFM	
PPP1R13B-DT	
C13orf42	
OR4G6P	
FAM138E	
LINC01905	
LINC01905	90960_at
CCNK	91012_g_at
CCNK	91009_at
CCNK	90627_at
CCNK	
BANF2	88552_at
BANF2	
MIR1302-10	
WASH3P	
NBEA	
TNRC6A	
BDNF-AS	
TMEM132E-DT	
	73924_at
GCNT1P4	
CTSZ	
GID4	81070_at
GID4	74264_at
GID4	
LGSN	
ZNF516-DT	
KRT8P5	
LINC01927	74660_at
LINC02540	
LINC01893	
UBL4A	
MIR6859-3	
LINC01898	
DDX11L9	
CLBA1	
TTC19	
LINC02582	84351_at
LINC02582	79665_at
SLC29A1	
SETDB2	
LINC01539	
YME1L1P1	
ARHGAP42P3	
SLC10A3	
TXNDC8	
SNRPGP14	
PI4KAP2	71216_i_at
PI4KAP2	71218_f_at
PI4KAP2	71214_f_at
PI4KAP2	
PHF11	
	81119_at
RN7SL697P	
FAM223A	
ATF4P2	
FMN2P1	
RPL7P58	
HMGA1P1	
RNU1-142P	
HACD3	83275_at
HACD3	87625_r_at
HACD3	92109_at
HACD3	92111_g_at
HACD3	87622_s_at
SETD3	
SETD3	80135_i_at
SETD3	80137_r_at
ZNF711	
MCTS1	
MCTS1	81451_at
NSA2P7	
HMGN2P32	
TSTD2	
TSTD2	69829_at
TMPRSS2	
MBP	
TBC1D29P	
BMI1P1	
RAB9B	
C1GALT1C1	
RNA5SP511	
H2BP9	
ELF2P1	
TMSB15B	
H3P46	
GLRX5P1	
CT47B1	
CT47A6	
BRINP1	
CT47A4	
RNU2-52P	70327_at
SLC5A11	
TOP1	
SLC25A53P1	
DPPA3P1	
H2BW3P	
LIMK2P1	
CT47A1	
RN7SKP221	
ZC3H7B	
AP2B1	
MSL3	
MSL3	76928_r_at
RCBTB1	
LINC02118	
LINC02106	
CKMT2	
LINC02317	
GLRXP2	
AHNAK2	
SKA3	77211_at
SKA3	
RPS15AP27	
TEF	
NCBP1	
PLCG1-AS1	
ADGRE4P	
MIR6871	
CINP	
RPL23AP81	
RN7SL615P	
RPL7AP12	
RPS4XP2	
PRNP	
RNU6-495P	
TOB2	87916_at
TOB2	
ERVH-1	
	84913_at
MRPL57	
PHF5A	
LINC01413	
ENPP7P9	
PRND	81566_at
PLCB2-AS1	
FTLP5	
REC114	
LINC01046	
PRNT	
ZFR2	
GRK6P1	
GAPDHP52	
RNA5SP25	
LINC00504	
ZDHHC20-IT1	
H2BP6	
MICU2	
IDI1P3	
RASSF2	
ABCA11P	
CTDNEP1	
NPTN-IT1	
POLR3H	
TTC7B	
GRPEL1	67163_at
GRPEL1	
LINC02205	
CARS1P1	
TBC1D21	76354_at
SLC2A9	
SLC2A9	81086_at
SLC2A9	84383_at
FNTAP2	
RNU6-59P	
RPS7P10	
FGF9	69335_at
FGF9	
RN7SL766P	
LINC00424	
NFS1	
ESRRAP2	
MX1	
ADGRE1	
ALG5	
ALG5	73393_at
ALG5	68207_at
GDNF-AS1	
LINC00587	
MTND2P11	
LINC02893	88912_at
NPTN	
H3P17	
EEF1A1P19	
ANXA1	
OSMR	84268_at
OSMR	
OR4A19P	
PHKG1P3	
ARHGAP17	
CSDC2	
OR5L2	
DHX15	
PMM1	
OR4F1P	
SDHAF4	
SDHAF4	91298_at
FOLH1	
RPL13AP3	
IL7	
GPR68	
MLIP	
ZNF516	
EXOSC8	
EXOSC8	92006_s_at
OR7E105P	
IGHV5-10-1	
LINC02312	
DEGS2	83944_at
DEGS2	
HNRNPA1P11	
CDC42P6	
CHST9	
DESI1	
KCNK13	69411_at
ZNF595	72707_at
MPI	
MX2	
MX2	73776_at
LINC02984	
ELP5	
IGHV3-32	
HEY1	
SPATA31A6	
KRT18P8	88043_g_at
TDP1	
LINC01492	
SHLD3	
ZNF397	
ZNF397	89424_at
ZNF397	67355_r_at
YBX1P6	
DCAF13P2	
GCNT1	
GCNT1	81655_at
GCNT1	89677_at
XRCC6	
ATG10	
ATG10	75668_at
ATG10	80875_i_at
ATG10	83873_at
ATG10	80877_r_at
CPZ	
DNAJA1	
ROMO1	
LCA5L	74658_at
LCA5L	
LINC01900	
LINC00668	
LINC00668	84904_at
DAPK1-IT1	
RPS27AP15	
	70499_at
PCSK5	
MFSD4BP1	
RBM39	
RBM39	73136_at
RASGRF2	
EIF4A3P1	
TMEM241	
OR7E83P	
STK32B	
RPS16P5	
BTBD9-AS1	
TRAM2-AS1	82412_at
TRAM2-AS1	91302_r_at
TRAM2-AS1	82414_g_at
TRAM2-AS1	
PKIA-AS1	
ZNF77	
LINC00400	
ENOX1	
RPL31P40	
GNA11	
SLC35B2	
RSU1P1	
CALB1	
PLD5P1	68597_at
ZNF25	
RPL36P19	
ENOX1-AS2	
ENOX1-AS1	
LINC02650	
CCDC122	
LINC01375	
DBF4P1	
RPL17P34	
ATP5PF	
DYDC2	
CLDN7	
LACC1	
BTBD2	
RPS6P7	
DGKZP1	
C9orf57	
LINC01182	
MIR8075	
LDHBP1	
LAMP1	
CYB5R4	
RNPS1P1	
MARCHF5	
MSX1	
MTND2P31	
LINC01396	
C1QTNF7-AS1	
NECAB1	
RPS21P4	
RPA2P2	
LINC02438	
GRTP1	91776_s_at
GRTP1	
SMARCE1P7	
CYTL1	90317_at
CYTL1	
IPMK	
SLC2A4	
TLE1	
DUXAP4	
ZNF25-DT	
CHUK	
TRMT44	
THEG	
CCT6B	
GUSBP8	
VCAN-AS1	
WWP1-AS1	88778_r_at
SGTB	
GRTP1-AS1	
REXO1L8P	
HNRNPA1P4	
DCUN1D2	
EVL	
LINC01526	
SLC2A13P1	
	74450_at
	74452_at
ME1	
REXO1L1P	
ACTBP6	
GEM	
HNRNPKP5	
MTND5P10	
GOLPH3	
BOLA3P2	
FEM1B	
TBC1D14	
TBC1D14	77860_at
LINC01029	
SVIP	
SVIP	69468_at
MATK	
