hgnc_symbol	affy_hg_u95c
HNRNPDLP1	
C3orf49P1	
RN7SKP205	
VDAC1P3	
XRCC6P5	
LINC00596	
UQCRBP1	
XKRX	
DHRS4-AS1	62145_at
DHRS4-AS1	
	52256_at
PWRN2	
PWRN2	66624_at
MAGEE2	
TERF1P4	
SERBP1P1	
CCNB1IP1P3	
MKRN4P	
ATP10A-DT	
NT5DC1P1	
GOLGA8CP	62315_f_at
SLC6A14	
MTRF1LP2	
GSDMC	
DHRS4	
IGHD1OR15-1B	
VPS28	
SUSD6	
SINHCAFP3	
ANP32AP1	
LINC02948	
HMBOX1-IT1	
BMF	62135_at
BMF	
LINC01521	
CCT3P1	
HMGB1P23	
DNAJB7	
IGLV3-13	
JTBP1	
RBX1	
XK	
PARP1P2	
AKR1B1P5	
DEFB131D	
MED14OS	
PTTG4P	
RAP1AP	
SERPINA7P1	
RPL34P36	
RBM8B	64886_at
RANBP1P1	
PCNX4-DT	
EZHIP	
UCHL3	
IGLJ6	
RPL7AP6	
YES1P1	
NLRP2B	
TUBBP3	
RPL10P18	
AP2B1P1	
ZNF770	64434_at
ZNF770	
LEPROTL1	
ARHGAP6	
	65939_at
NCOA4P1	
SIPA1L1-AS1	65338_s_at
SIPA1L1-AS1	58606_at
SIPA1L1-AS1	
PLA2G3	
LINC02895	
RPL21P7	
TVP23BP1	
CHEK2P5	
BNIP3P5	
FUT8-AS1	
LINC02853	
RPL23AP71	
ITGA8	
ITGA8	62298_at
PATZ1	
SLC20A1P3	
HERC2P3	
	58383_at
EGLN3	60511_at
EGLN3	
EGLN3	62869_at
LINC00240	
LINC00240	51391_at
MIR548A1HG	
LINC01622	
	63153_at
ADRA1A	
COP1P1	
STMND1	
LMO7-AS1	
FAM3B	
FAM204CP	
RN7SKP9	
ASNSP6	
H2AZP3	
GPR183	
RAB31	65819_at
RAB31	
THAP12P5	
GUSBP2	
SNORA31	
TAF11L11	
RCN1P2	
LINC02239	
SLC25A30	62459_at
SLC25A30	
IGLC6	58867_s_at
LINC00899	
PLCXD3	57849_at
EFCAB6-AS1	
RPL37P1	
NDUFS3	
DUSP26	
SHISAL1	63563_at
FXYD6P1	
CDYL-AS1	
CICP9	
HNRNPRP1	
	48772_at
LINC02658	
SLC9B1P3	60368_at
RN7SKP271	
RNU6-759P	
LINC02114	
RBM12	50608_r_at
SCUBE1-AS1	
	51544_at
IGLJ5	
LINC02111	
	54106_at
BTN2A1	
SLC39A12	
LINC01656	
LINC02306	
XPNPEP3	
MTND5P41	
SPTSSA	
NKX3-1	
LINC02241	
DHRS4L1	
FITM2	54695_at
UBE2CP2	
LINC00470	
R3HDML-AS1	
CARMIL3	
ATP6V1B2	
FOS	
HNF4A-AS1	
LINC01620	
LINC01620	51282_at
RPL37AP1	
TTPAL	
THBS1	
MYCLP2	
TATDN2P1	
SLC25A30-AS1	
GTF3AP2	
TPT1	
HNRNPUP1	
RPL9P6	
NXF3	
NXF3	50156_at
PLEKHD1	
IGLC5	
ADAMTS1	
ZNRF3	60034_at
ZNRF3	
	66427_at
PTPMT1	49649_at
PTPMT1	59701_at
ZNF415P1	
LINC00840	
COX6CP3	
SERINC3	
AQR	
CHMP1B-AS1	
YBX1P1	
LINC01254	
OR2E1P	
	60418_at
KBTBD4	
CUBNP1	
YES1	
LINC02561	
LTBP2	
ANKH-DT	
HIVEP1	
KCTD9	
LINC01019	
AMD1P1	
CPNE6	
LINC02123	
PACSIN2	
ZFR	
ZFAND4	
ABHD13	61396_at
RNA5SP39	
HCFC2P1	
ZFP1	
ZFP1	61896_at
RNU5E-10P	
FAM180B	
ESD	
C1QTNF4	
RPS4XP18	
MTCH2	
	66432_g_at
	66433_at
	66431_at
PKIG	
VN1R12P	
CTRB2	
MAPRE2	
	66373_at
CTRB1	
GFOD1	59979_at
GFOD1	
ATG4A	
RNF170	
NRSN1	
BCAR1	65885_at
BCAR1	
MIS18A	
HTR2A	60209_at
HTR2A	
MIS18A-AS1	
MRAP-AS1	
MRAP	
HTR2A-AS1	
DIAPH3-AS2	64869_at
ZNF519P3	
RNY4P28	
LINC00434	
TARDBPP2	
GJD2	
RNA5SP31	
EIF4A1P6	
LINC01668	
TDRD3	
TTBK2-AS1	
JARID2	
WDR4	62282_s_at
WDR4	50150_s_at
WDR4	
LINC02675	
RPL17P33	
RPL21P93	
LOXL2	
AGBL2	62078_at
AGBL2	65282_at
AGBL2	
MYO3A	
MYO3A	61433_at
RN7SL156P	
TLDC2	
ELOVL2	
RNU6-71P	
SPART	
SPART	64588_at
MRPL35P1	
MTCO2P33	
POM121L6P	
RPS3AP3	
RPS27AP3	
RN7SL443P	
OSER1	
LINC00589	
PPIAP57	
	66631_at
JPH2	
JPH2	60416_at
LZTS1	
LINC01255	
LINC01255	63129_at
SLC38A9	
ISCA2	
NRL	
RPL10AP2	
RNU6-743P	
CDCA2	65442_at
CDCA2	
EIF4EBP2P1	
SRSF6	
PPP4R1-AS1	
BOD1P2	
JDP2	
PCK2	
RNU6-1251P	
AWAT2	
KLHL14	
IFT52	65606_at
IFT52	
OR1Q1BP	
ZNF519P2	
EIF2AK4	
TBC1D22A-AS1	
IGLC7	
IGLJ7	
DLGAP1-AS5	
HNRNPA1P37	
PSMD10	64301_r_at
PSMD10	
OR2W1-AS1	
LINC01478	
RPL27AP	
MYBL2	
RNU6-816P	
SPATA7	65212_at
SPATA7	
NDUFV3	52154_at
NDUFV3	
MIR5571	
RN7SKP131	
ZBED9	62625_at
ACTR3BP6	
RNA5SP495	
RNA5SP494	
MIR650	
MIR3928	
RNU6-1066P	
RNU6-338P	
	66210_at
RN7SKP169	
RNU6-1128P	
RN7SL20P	
FNBP4	
FNBP4	65037_at
RNA5SP496	
RNU6-201P	
SPART-AS1	62917_at
SPART-AS1	
RNU6-28P	
PAICSP4	
MIR5739	
MIR3619	
MIR6818	
MIR7109	
SNORD83A	
MIR6821	49065_at
SNORD83B	
RPL23P10	
SNORD43	
MIR1249	
RN7SKP252	
MTCYBP19	
RNU6-1161P	
MIR4535	
MIR3201	
MIR3667	
	53634_at
MIR4762	
GABPA	62479_at
GABPA	
RNA5SP497	
EDN1	
PSME2P5	
MIR4766	
ZDHHC2	57637_at
ZDHHC2	
RNU6-379P	
PSMC1P13	
RN7SL633P	
ATXN8OS	
MIR1281	
RN7SKP214	
IGLCOR22-1	
LINC01543	
LINC01543	59839_at
SLC5A4-AS1	
STK24	
GTSF1L	
BNIP3P3	
CPSF1P1	
GPX5	
CST9	
RFPL3	
PGDP1	
SIRPB1	
AQP4-AS1	
TUSC2P2	
NRK	65648_at
NRK	
IGLCOR22-2	
RFPL3S	
EIF2AP4	
ZNF22-AS1	
RNA5SP340	
YPEL5P2	
E2F3-IT1	
FTLP19	
SMIM13	53138_at
ZNF33CP	
MSRB2	
IGLVIVOR22-2	
NDUFV2	
RTCB	
MRPL48P1	
RBM24	61955_at
RBM24	
ATP5F1AP1	
LRCH2	62523_at
FAM74A6	61147_at
CLIC6	
ELAVL2	
DCAF11	
DCAF11	58753_at
OTOR	
GABRB3	63823_at
GABRB3	
GABRB3	50272_at
MTMR7	
FAM238A	57098_at
FAM238A	
CCNYL2	
PIGP	64892_at
PIGP	
SRXN1	65180_at
DTD1	
TCERG1P2	
	62791_at
XYLT1	
KRT18P38	
DDX18P3	
RPL18AP14	
TUBAP6	
KCTD9P5	
FUNDC1	
CDH10	
SSR1	
RCBTB2	
PTF1A	
MPPE1	
PINCR	
OSBPL2	
CCNB3	
YWHAH	
PRTFDC1	
PTGER4P2	
PCMTD1	54815_at
PCMTD1	64476_at
PCMTD1	
TMEM252-DT	
C3orf52	
C3orf52	61657_at
KCNE2	
TPTE	59467_at
TPTE	
RBM17P2	
PTGER4P3	
	61101_at
RN7SL305P	
YWHAH-AS1	
FAM74A4	61147_at
GRHPR	
TAF11L3	
ASPHD2	
ACTRT1P1	
NLRP3P1	
PPIAP77	
RAB40AL	
POU3F4	53369_at
SRRD	65035_at
SRRD	
EIF3JP1	
GPX8	
SNX3P1X	
FAM236C	
GCSAM	53242_at
GCSAM	
VENTXP5	
P2RY10	
MTND6P20	
PROSER2	
PROSER2	57746_at
BNIP3L	
TPT1P13	
KRT8P17	
TFIP11	
KRBOX4	
ISL1	
RPL36AP55	
HIRAP1	
CTSLP2	
EIF3LP2	
LINC00841	
LINC00609	
CYCSP1	
TPT1P10	
NUTF2P5	
LINC02672	
TOGARAM1	
SLITRK1	63289_at
MKX-AS1	
FOXF2	
AGAP10P	
ALOX5AP	60061_at
ALOX5AP	
LINC00838	
ZBED9-AS1	
HSPA8P3	
UQCRFS1P3	
C5orf34-AS1	
SOX4	
ENKUR	
EFNB1	
LINC02533	
ANKH	
FGF14	64162_at
FGF14	
TBILA	
CDKAL1	55579_at
CDKAL1	
SLC9C1	
SLC14A2-AS1	
SLC14A2-AS1	66626_at
CNTNAP3P2	57288_r_at
RPS4X	
OR4H6P	
POTEB2	
CISD1	
TRPM6	
IFT88	
	61794_f_at
LINC02522	
KIF13B	
DCDC2	
ADH5P5	
LINC02119	
PRELID3BP4	
TPST2	61348_at
TPST2	
PPWD1	
PPWD1	62686_at
KRT18P68	
MDH1P1	
RPL26P27	
MTCYBP31	
PABPC1L2B-AS1	65009_at
DNAJC1	62726_at
DNAJC1	
PPP1R2C	
PHB1P10	
IGHV1OR15-2	
DLG3	
ID4	
MYL12BP1	63986_at
DPH6	51594_at
DPH6	
MIR548J	
HMGB1P10	
CRYBB1	
RUBCNL	58929_at
RUBCNL	
SYNJ1	
MRPL50P4	
HNRNPA3P1	
UQCRHP3	
GPN3P1	
CTSLP4	
CUBNP3	
CRYBA4	
SLC25A16	
TWIST2	
RPLP0P10	57261_f_at
OR11J5P	
BMF-AS1	
C15orf62	
C1QTNF6	
MRPS35P3	
SPRED1	49511_r_at
SPRED1	53262_at
SPRED1	
PROSER2-AS1	
UBE2V2P1	
MYL6P3	
PHYHIPL	63835_r_at
PHYHIPL	
AP5M1	48801_at
AP5M1	59237_at
AP5M1	
FITM1	
SSTR3	
TMTC4	63314_at
TMTC4	
PSME1	57221_g_at
PSME1	57219_at
GAPDHP55	
TMPRSS6	
SGMS1-AS1	
FMN1	59018_r_at
FMN1	62910_r_at
FMN1	59928_at
FMN1	
GRM5P1	
SNX18P27	
VN1R54P	
IDI1P2	
NAMPTP1	
	54253_f_at
GCSHP1	
HOOK3	61910_f_at
HOOK3	61911_r_at
HOOK3	
ANKRD54P1	
NNT-AS1	
RPL21P8	
TRIM51FP	
TMEM63C	65543_at
TMEM63C	
AK4P2	
ASCC1	65150_at
ASCC1	
ATPSCKMT	63786_at
ATPSCKMT	
R3HDML	
RIMS4	
LINC02958	
FBXO4	
CELF4	
CELF4	61685_at
HAR1B	
INTS10	
INTS10	57174_at
HAR1A	
THBS1-IT1	
NF1P1	
SGSM2	
MIR124-3	
YTHDF1	
PPP1R11P2	
CYLC1	
HMX1	
SLC35F4	
OOSP1	
NUTF2P6	
GABRG3-AS1	
OOSP4A	
OOSP4B	
VEZTP1	
VPS39-DT	
IGHD3OR15-3B	
RIPPLY1	
BIRC7	
OOSP2	
GABPB1-IT1	60676_at
FSIP1	
LINC02284	
ATP5F1AP10	
FKBP4P7	
LINC01148	
NPR3	
EPSTI1	
BMP4	
MTND4P31	
PGAM4P1	
FDPSP5	
PAX5	
GABRG3	
RNU6-954P	
NF1P3	
DPRXP6	
PPP6R2P1	
FRG2MP	
MTND6P13	
ANKRD20A18P	
RNA5SP488	
MIR3196	
H2AL1MP	
ERLEC1P1	
NKAIN4	64402_f_at
NKAIN4	64401_i_at
NKAIN4	
EEF1A1P30	
RBM11	
CXorf38	
DNAJC8	
LINC02296	
FTH1P13	
PTBP1P	
HNRNPA1P71	
RPL21P11	
EIF4EBP2P2	
OR7E159P	
LINC02302	
SNX18P23	
RPA2P1	
MTCO3P39	
MTND3P22	
EMC9	56658_s_at
EMC9	64147_at
EIF3LP1	
EIF4BP1	
COILP1	
TRAJ50	
HSPA13	
RPL18P1	
MTCYBP23	
FKBP1BP1	
ATP5IF1	
RPL36P18	
PRELID1P4	
EEF1A1P29	
SRSF5	
SFR1P1	
PCBP2P1	
GGTLC4P	
PSMG1	
	65010_at
LINC02405	
TCEAL7	60810_at
POM121L9P	
	64357_at
LINC02120	
TNFRSF19	
	54094_at
ARFGAP1	64332_at
ARFGAP1	
SESN2	
PART1	
DNAAF4-CCPG1	48631_at
DNAAF4-CCPG1	
SPECC1L	
HMGN1P35	
ARL5AP5	
TMEM230P1	
SPRING1P1	
RPL26P28	
RBP3	
MED18	
TMEM184CP1	
BEX1	65704_at
TAF11L8	
RYR3-DT	
TAF11L9	
PSME2	
HSPB3	
	62360_at
RPL7AP72	
NLRP7P1	
IMPDH1P4	
RHOXF1P1	
LINC02213	
ARHGAP12	
COX6B1P4	
GCNT1P2	
DCAF8L1	
FST	63032_at
FST	
DCTN6	
RPL22P22	
H3P44	
PRTG	
RPL31P63	
SPIN4	
RRM2P3	
COL4A2-AS2	
ANKFY1	60011_at
ANKFY1	64882_at
ANKFY1	
PCNAP3	
COL4A2-AS1	
RAB20	
RPL7P55	
MTCO1P53	
PRPF4BP1	
CARS2	
DCAF12L2	
DNAJC18	
DNAJC18	53218_at
H3P19	
TAF11L7	
UQCRBP3	
BRWD1	62748_at
BRWD1	51897_at
BRWD1	
BRWD1	48900_at
TAF11L2	
MRPS30	65622_at
MRPS30	
TMEM30BP1	
RAD51	
COX6CP12	
NCKAP1P1	
DEFT1P	
OTUD6A	
UBE2V1P16	
AKAIN1	
SLC14A2	
PPP2R2A	
THOC2	
CAP2P1	
GHR	
FUT8	
TOLLIP	
TOLLIP	61979_i_at
TOLLIP	61980_r_at
SPECC1L-ADORA2A	
	64084_at
ADORA2A	
RNU5B-4P	
ECSCR	64084_at
OR7E55P	
EVA1CP5	
LSP1P2	
RALBP1	
RALBP1	60570_at
ALG1L6P	
FAM86DP	64392_s_at
FAM86DP	65585_at
FAM86DP	
SMIM33	
BOLA2P3	
STING1	65817_at
STING1	
ADORA2A-AS1	
ADORA2A-AS1	65261_at
MIR7703	
RNF31	
ZZEF1	
SSU72P7	
UPB1	
KCNQ1OT1	54440_at
KCNQ1OT1	49960_at
KCNQ1OT1	58718_at
SSU72P3	
TOLLIP-DT	
SSU72P5	
WBP11P1	
LINC02018	
MUC5B	
MUC5B	60740_at
KIF13A	
KIF13A	49958_at
SS18	
ING1	
MIR3168	
RN7SL597P	
KBTBD6	
CALM2P3	
KBTBD7	62514_r_at
KBTBD7	61129_at
MORF4L1P4	
MTRF1	
SNRPD3	
SNRPD3	63879_at
MINDY2-DT	
ACTC1	
SPIN3	
ENPP7P2	
SNRPCP10	
NCOA4P4	
RPS3AP15	
RAC1P3	
NAA16	63447_at
NAA16	
ENTPD4-DT	61597_at
LRRC75B	
CDH9	
ACTBP7	
MAP2K1P1	
ENTPD4	
BRSK2	
GGT1	
CRK	49090_at
CRK	
CCNO-DT	
TEKT1	
NAIPP1	
TATDN1P1	63371_at
DOCK11P1	
RPS19P3	
BMS1P2	
	60636_at
RAB42P1	
LINC02228	
SNRPEP8	
UBE2D1	
	52202_at
LINC02100	
ERO1A	65120_at
ERO1A	62599_r_at
ERO1A	59682_s_at
ERO1A	
ADAMTS12	61437_at
MIR4326	
RNU6-994P	
CHRNA4	
PIMREG	
TIMM9P2	
BRWD1-IT1	
YWHAZP3	
METTL21AP1	
LINC02632	
BRWD1-AS1	
RNU6-57P	
TUBBP2	
OR7E36P	59427_f_at
OR7E155P	
OR7E37P	59427_f_at
RGCC	57044_s_at
RGCC	50199_s_at
RGCC	
HMGN1	
LINC01402	
GDF10	
PNPLA10P	
MAP2K4P1	
H3P32	
SPRYD7P1	
BMS1P10	60880_at
BMS1P10	
VWA8	
RPL32P21	
GEMIN8P3	
	60352_at
ITM2A	
RAB28P3	
LYPLA2P3	
PRKG1-AS1	
TCEA1P4	
ZNF33B	
GNAQ	49011_at
GNAQ	63890_f_at
GNAQ	
SYT15B	
RNA5SP383	
IRF9	
HIGD1AP15	
SPIDR	
SPIDR	57029_at
RPL23AP6	
SDAD1P2	65118_at
CAPZA1P1	
MKKS	
RPS7P13	
CBLL1P1	
LUZP4	
CEP164P1	
PCAT5	
SPANXB1	63693_s_at
LINC02899	
NPY4R2	
LINC02225	
ALDH1A1	
CAMKK1	
H3P20	
NRP1	
	62905_at
MCIDAS	
FAM25C	
KCTD9P2	
HSPA8P1	
RPL26P36	
PELI2	
PELI2	62136_at
MED28P4	
RHOXF1P2	
EEF1A2	
BEX3	
AGAP12P	
DPPA5P4	
OR7E106P	
ENSAP2	
UBA52P3	
CYB5AP5	
NAA30	
LINC02619	
RNA5SP315	
BMS1P7	
UGT3A1	
PTPN20CP	
LINC02429	
MAGEC2	
CLEC14A	65600_at
PPDPF	65769_r_at
PPDPF	65768_i_at
VKORC1P1	
SUMO2P21	
DUTP4	
SLITRK4	
SLITRK4	56009_at
REC8	
MIR5006	
RN7SL515P	
RNU6-74P	
NAP1L2	62533_at
KARS1P1	
PTK6	
VWA8-AS1	
RPS28P8	
FERP1	
RGS6	
PHF5FP	
MAPK6P3	
LINC00456	60402_at
LINC00456	
HTATSF1	
	52222_at
RNA5SP37	
RAP2A	
ANKRD20A5P	
FNDC11	
RPSAP75	
	61244_r_at
HSPA8P17	
PSMA6P4	
CARNMT1-AS1	
RNU1-94P	
LPAR6	
PDRG1	
C9orf85	
C9orf85	60267_at
TPMTP1	
RPS8P3	
NAXD	
XKR7	
FRMD3-AS1	
LINC01335	
BCRP3	
TTC39C-AS1	66793_at
IGKV1OR9-2	
NPM1P1	
RNA5SP481	
	64904_at
SERPINA7	
CCM2L	61782_at
FKBP4P6	
CDH18	
SLC28A3	
ANKRD12	
POM121L10P	
ARL5AP4	
RPL7AP62	
OR11Q1P	
OR4H6BP	
P2RX1	
CRIP1P4	
GOLM2	
GOLM2	65932_at
PPFIA1	
TAFA5	
BTG3P1	
CYCSP44	
H2BP8	
KRR1P1	
RNA5SP482	
TFDP3	
SNURFL	
LINC01072	
RSL24D1P6	
TSPY26P	
GJA3	
MIR3649	
RPL7P53	
MDN1	
ADIPOR2	
H2AZP4	
MIR548K	
MTND4LP1	
PPIAP28	
OR5BH1P	
LINC00556	
PLAGL2	
GJB2	
YAP1P2	
MAPK1	55528_at
MAPK1	
IGBP1	
CTTN-DT	
CTTN	
POFUT1	
GJB6	60587_at
GJB6	
RAB40A	
RPS4XP14	
SPANXN3	
PPIAP87	
FOXB2	
CACNA2D4	
PGM5	
	58374_at
H2AQ1P	
IPO4	62499_at
IPO4	
FGF13-AS1	
RNF6P1	
CT47A12	58374_at
GET1	
KRT18P44	
LINC01281	
LINC00850	
MIR1825	
RHOXF2	
NOL4L-DT	
OR52B3P	
MUC5B-AS1	
OR52P2P	
C20orf203	54638_at
C20orf203	
OR52B4	
CYP4F35P	
HAX1P1	
CNOT7P1	
	54638_at
OR7L1P	
TUBB4AP1	
ORC1P1	
C18orf25	
C18orf25	64460_at
SKP2P1	
ETS2P1	
LURAP1L-AS1	
BAK1P1	
MAPRE1	
LINC02149	
PSAT1	
PSAT1	51016_s_at
WDR44	
STARD9	
STARD9	60454_at
PITPNM3	
ZMYM2	
ZMYM2	62170_at
PROCR	
ZBTB7C-AS1	
RAI14	48965_at
RAI14	
RNA5SP483	
MMP24OS	
MMP24OS	49679_s_at
FAM242D	61972_i_at
FAM242D	61973_r_at
SDR42E1P2	
OR11K1P	
IDNK	
RPL7AP75	
SHC4	55999_at
SHC4	
	52368_at
	63193_at
XKR6	
MT1P3	
MMP24	64114_s_at
GET1-SH3BGR	
BMS1P14	
MIR6508	
MYL6P2	
RPS26P4	
JCADP1	
AQP7P4	
B3GALT5-AS1	
ATP6V1G1P2	
LSM12P1	
RPL17P46	
RSL24D1P9	
MTCO2P2	
SIRLNT	
SIRLNT	60905_at
SINHCAFP1	
RPS24P18	
GNRH1	
MAP1LC3P	
PCP4	
FAM83C-AS1	
FAM83C	
CIAPIN1P	
TRIM21	
RASEF	
RHOT1P1	
RPS10P5	
RPRD1A	
RPRD1A	56797_at
SIRPA	
PWWP3B	58490_at
DSCAM	
LINC00293	63747_at
LINC00293	
SSU72P6	
LINC02689	
H3P33	
ZNF215	
ZNF215	55892_at
STK24P1	
LINC01282	
NMRK1	
SRD5A1P1	
CTDSPL2P2	
PLXDC2	
PLXDC2	62813_at
PLS3-AS1	
RAC1P4	
MAGEA8-AS1	
BRS3	
DSN1	
ASB12	
MTMR3	
SNAP23	
RBBP8P1	
CT47A11	58374_at
RIT2	
CCKBR	
UFM1P1	
JARID2-AS1	
C17orf100	61667_at
C17orf100	
FGF13	
SYCP2L	54442_at
SYCP2L	
POLR1E	
	62319_at
ALOX15P1	
MIR4760	
DSCAM-AS1	
RSU1	60546_at
RSU1	64304_r_at
SNRPGP2	
DSCAM-IT1	
GAPDHP66	
YRDCP3	
LINC02751	
POLR3GP2	
MIR3197	
RPL7AP67	
BACE2	
BACE2	62127_at
TERF1P2	
SLC35E1P1	
RNU2-7P	
SYT4	
PIMREGP3	
CASP8AP2	
EEF1AKMT1	
GALNT18	
RANP8	
IMPDH1P9	
CNOT4P1	
HNRNPA1P30	
RPL23AP73	
PPIAP27	
RPSAP54	59681_at
LATS2	60514_at
LATS2	
ZNF287	
ZNF287	66962_s_at
TPMT	
HRH4	
LATS2-AS1	
RNU4-9P	
RPS12P23	
IPPKP1	
MTCO3P40	
HNRNPA1P14	
CENPJ	
GOLM1	65744_at
GOLM1	
PA2G4P1	
AMER1	
C11orf42	
ZIC3	
TMEM14DP	
RPL31P44	
LINC02682	
MRLN	
RBBP8	
RPL32P35	
TPM2P1	
RPL3P12	
RPL12P50	
MDH1P2	
SPANXC	63693_s_at
ELOVL2-AS1	
CALCB	
RYKP1	
IL1RAPL2	
PGGT1BP1	
HMGA1P5	
HNRNPA1P58	
ELOCP30	
RPS3AP37	
NEK4P3	
MRPS21P5	
ATP2A3	
PLAC4	64946_at
PLAC4	60542_i_at
PLAC4	60543_r_at
CAGE1	
PRELID1P3	
OR52B1P	
BACE2-IT1	
RPL22P14	
JCAD	54250_at
JCAD	56792_at
JCAD	
SSU72P4	
PCSEAT	
LINC00111	53030_at
OR7E41P	
LINC00479	
SSU72P2	
RPL7L1P11	
LINC01495	66706_at
LINC01495	
GJA10	
SPANXN1	
LINC00112	
ZDHHC13	
PNMA6B	
MAGEC3	
RPSAP6	
AIFM1P1	
ZNF503	
RIPK4	
C1R	
FAM21FP	
CYP1D1P	
TMEM185AP1	
PCA3	
SPAG6	
TRMT1P1	
MTND4P24	
RAP2C-AS1	
OR11N1P	
HSPB1P1	
UBE2NL	
ATP5MFP3	
HSFX1	
ZBTB46	51011_s_at
ZBTB46	54397_at
ZBTB46	49704_s_at
ZBTB46	
CMC4	
TUT7	61669_at
TUT7	62291_at
TUT7	66703_r_at
TUT7	
LINC01289	
MIR6814	
MAPK6P4	
PINX1-DT	
ABCG1	
AFF2-IT1	
RPS15AP24	
SLC9A8	
SLC9A8	49391_at
M6PRP1	
SLC20A2	
SLC20A2	59946_at
RHOXF1	
PGBD4P6	
OR2AF1P	
ZFYVE9P1	
MAGEA8	
GDAP1L1	
ASS1P5	
IDS	63459_at
IDS	
SLC25A15P3	
RPL34P27	
ELOBP1	
RNU6-78P	
RN7SL741P	
RNY1P3	
	59692_g_at
	50983_at
	62499_at
SHISA2	
LINC00415	
RXFP2	
LINC01491	
TM9SF1	59692_g_at
TM9SF1	50983_at
TM9SF1	
TM9SF1	59689_at
NAV2-AS3	
ZNF214	
APH1B	62125_at
APH1B	
APH1B	65643_at
LINC01387	
SH2D4A	58026_at
SH2D4A	
THAP12P3	
L3MBTL4-AS1	
RPS12P2	
LINC01416	
LINC02699	
TTC39C	64649_at
TTC39C	
LINC03015	50603_at
KIF16B	
MYO18B	
FRY	
LEMD2	60869_at
LEMD2	65458_at
LEMD2	
LINC00595	
LINC00856	
LINC02654	
C1RL	
C1RL	63053_r_at
C1RL	61172_i_at
C1RL	61173_r_at
PTPN21	
NPM1P24	
TET1	
RPS20P25	
TYRP1	
XKR4	58441_at
XKR4	
DCC	
DCC	50286_at
PSAT1P1	
RFPL4AP7	
NDUFA5P12	
TSSK4	58334_at
TSSK4	
GPR50-AS1	
DKK1	
CT47A7	58374_at
PRRG4	64174_at
FRMD5	63481_at
FRMD5	
RPL29P19	
HNRNPH1P2	
LDOC1	
LDOC1	56706_at
RPL6P22	
MTCP1	
LINC02947	
LINC02630	
RP1L1	
KIF5B	
PNMA2	
TPD52L2	
GNA14	60600_at
	59872_at
RPL36AP40	
RBMXL2	
CHMP4A	58474_at
CHMP4A	64089_at
CHMP4A	
SYNDIG1L	61799_at
SYNDIG1L	
C1RL-AS1	
MTND1P33	
GABRA3	
RNA5SP492	
TFF2	
HMGB1P40	
CNGA4	
PLPP2	
RBP5	
	51464_at
DDHD1	65183_at
DDHD1	
ZFAND5	
TFF1	
FOXC1	61298_at
ANO3	
	62070_at
TFAP2A-AS1	
	63459_at
TMPRSS3	
ERVFRD-1	
	58474_at
	64089_at
LYN	
NHLRC1	
RNU6-485P	
DNAH8-DT	
RBMX2P2	
	50671_at
CLSTN3	
MDP1	64089_at
MAGEA11	
CDYL	
GPR50	
FAM226B	
WASH5P	
WASH5P	54175_at
MAGEA13P	
PASD1	
VN1R76P	
SEPTIN7P9	
RNF165	
RNF165	57111_at
SPECC1P1	
LRTM2	
MISP	
	65795_r_at
	65794_f_at
SLC13A5	65136_at
SLC13A5	
FAM138F	61722_at
NEDD8-MDP1	64089_at
NEDD8-MDP1	
LINC01002	65795_r_at
LINC01002	65794_f_at
LINC01002	
LINC01002	64629_f_at
LINC01002	64628_at
RNU6-1118P	
NF1P5	
IGSF1	
ABCD1P2	
RPSAP57	
CUPIN1P	
MRO	61125_at
MRO	
LINC00940	
SUMO2P12	
DCP1B	
OR4Q1P	
CYCSP22	
MOCS1	
PGM5-AS1	
NEDD8	
CARNMT1	
RP1	
GCOM1	
EEF1DP3	
FRY-AS1	
PDS5B	
SPINK4	
GMPR2	66105_s_at
GMPR2	58784_s_at
GMPR2	
ZBTB5	
CYCSP25	
SNTG1	
CCT5	
CSRP3	
NAA35	
NMT2	
GPR33	
PEX5	
CACNA1C	
MTCO1P2	
TMX1	
TMX1	66567_at
SEL1L2	
	62705_at
OR4F8P	
OR4G3P	
WBP1LP11	
OR4G1P	
CICP19	
ABCA7	51079_at
ABCA7	
ATPAF2	
RPSAP3	
UBASH3A	
FOXD4L3	
ROCK1	63397_at
ROCK1	
	61029_at
	60146_at
COX11P1	
LINC00520	
UNC5CL	
CARD19	
SYT9	
LINC02297	
MTCYBP27	
EEF1A1P2	
LINC02303	
RNY1P4	
ATP5F1AP7	
LINC00423	
BTF3P4	
TSPO2	
CIPC	65543_at
CIPC	
ZBED9P1	
PHB1P13	
LERFS	
NAV2-AS4	49484_at
RPL7P52	
MAB21L1	
LINC02759	
SGSM3	
LINC02745	
LINC00445	
RNY4P30	
CTAGE10P	
TMEM273	
RNY4P9	
ABHD16B	
SPRYD7	
CSNK2A3	
VSX1	
LINC02741	
GRM4	
FGF7P5	
MEIS3P1	
FAM74A7	61147_at
FANCF	57674_at
TBC1D3P3	
RBM17P3	
LINC02324	
SPON1-AS1	
CDK2AP2P2	
DNAAF11P1	
GNA14-AS1	
DAOA-AS1	
OSTF1	63026_at
TRIM68	
UTP14C	
YWHAQP1	
TXNDC17	
SYT8	55233_at
SYT8	
RRAGAP1-AS1	
RPL13AP2	
NEK3	
RTRAF	65016_at
RTRAF	48860_at
RTRAF	
ZBTB7C-AS2	
ST8SIA3	
CDH12	
KIAA0753	
ADGRF5P1	
CCAR1	
CCAR1	65214_at
DNAJB5P1	
