hgnc_symbol	affy_hg_u95a
KIAA2026	
MTFR2P2	
LINC00705	
LINC01310	
RNA5S1	
RNA5S2	
RNA5S3	
RNA5S16	
RNA5S17	
PIM3	
RNA5SP18	
DUSP5P1	
ARL4AP3	
FTH1P2	
TUBAL3	
RHOU	
RN7SKP150	
MRNIP-DT	
TBC1D9B	40136_at
TBC1D9B	
SYCP2	35922_at
SYCP2	
NBEAP5	37884_f_at
TRAJ48	
NUP50	40564_at
NUP50	
TRAJ59	
ADARB2	
DUXAP9	
DUXAP9	37883_i_at
DUXAP9	37884_f_at
RPS27AP14	
MTCO1P11	
SUMO2P2	
SLC1A1	38267_at
SLC1A1	38268_at
SLC1A1	
TRAJ61	
HNRNPDP1	
RBMXP5	
PHKA1-AS1	
TRDC	1110_at
MAGEH1	
ZNF674-AS1	
TRAJ58	
TRDJ4	
RAB11FIP1P1	
BMP2KL	
LINC00707	
SMIM15P1	
ARHGAP5-AS1	
DGKK	
LINC02293	
TRAJ47	
LINC00708	
TRDJ2	
G2E3-AS1	
RPL23AP96	
LINC02670	
RPL23AP53	
TRAJ56	
KIAA1143P1	
LINC00709	
LINC02639	
CUX2P1	
NUBPL-DT	
PRPF38AP1	
LINC02294	
MTATP6P11	
HEATR5A-DT	
LONRF1	
ECHDC3	
IGHEP2	
PLPP6	
MTND6P5	
NUBPL	
MTND4P14	
CNTLN	
PLEKHM3	
GTSE1-DT	
LINC00269	
DENND6B	
LINC02656	
NDP-AS1	
CDC123	
CDC123	38123_at
SPIN4-AS1	
PIR	35724_at
PIR	
RNU6-360P	
RPL9P14	36358_at
RNA5SP116	
RPL12P17	
CSTB	35816_at
CRYGEP	
CRYGD	32427_at
ARHGAP16P	
BMS1P17	
AKAP8P1	
TMEM97P1	
TRDD2	
FTH1P12	
LINC02277	
RRP1	
CRYGC	33964_at
IFNWP9	
TMEM215	
SNX6	
RANBP6	32627_at
RANBP6	
LAMA5	41610_at
LAMA5	
SLC7A2-IT1	
SELENOTP1	
IFNA16	1075_f_at
MSRA	
DMRTA1	
ATXN10	39685_at
ATXN10	39686_g_at
ATXN10	39687_at
ATXN10	
HAUS6	
RPL23AP83	
PSMA5P1	
EDA2R	
LINC02648	
AKR1C5P	
UCN3	
SEPHS1	39387_at
SEPHS1	
PFN5P	
CYSLTR1	
FAM118A	
PRSS52P	
RPS3AP35	
RPL23AP54	
TMEM97P2	
AATBC	
BTF3P3	35055_at
PEBP4	
MYL6P1	
AGPAT3	
SNRPEP2	38679_g_at
ATP6AP2	
ATP6AP2	40903_at
TRAJ53	
SMU1	
KRT8P2	
TRAJ45	
LINC02063	
ATP5MC2P2	
TRAJ52	
TRAJ55	
DEFA5	34623_at
KLF6	
KLF6	37026_at
LINC00645	
ICE1	
ICE1	41595_at
OR6R2P	
EIF4EP5	
PRSS55	
SMC1B	
GLRX5P3	
ARHGAP42P5	
TXNDC16	
XKR5	
LSM14B	
ATP5F1C	40115_at
ATP5F1C	
OR2A5	
	33600_at
PRKAR2B	37221_at
PRKAR2B	
MTCO3P30	
PRSS51	
LINC01242	
LINC02142	
RPL3P11	
OR2A2	
OR2A14	
CTAGE4	
ECM1P1	
ARHGEF35	
CLIC4P1	
PRAG1	
LAGE3P1	
GARIN3P1	
CERK	
ADAMTS16	
SAMM50P1	
OR2A7	
CTAGE8	
RPL35AP20	
ACTG1P14	
PPIAP17	
PHACTR3	
PSIP1	37622_r_at
PSIP1	39243_s_at
PSIP1	
LINC03023	
DEFA7P	
SEPTIN14P8	
RPL30P9	
ARHGEF5	35673_at
DEFT1P2	
NOBOX	
GFRA2	38870_at
GFRA2	1692_s_at
GFRA2	
HBP1	39809_at
HBP1	
RNU6-859P	
RNU6-1150P	
CHCHD3P1	
PPP6R2	40224_s_at
PPP6R2	
TRDV3	
TRAPPC10	38303_at
TRAPPC10	
HSP90AB7P	
LINC00703	
MRPL36	
LINC00648	
PTGDR	31782_at
LINC02145	
SEC61A2	
LINC02286	
	31539_r_at
FASTKD3	
LINC02315	
LINC02307	
KRT8P1	
FSCB	
LINC02313	
LRFN5-DT	
DLC1	37951_at
DLC1	
FERMT2	36577_at
FERMT2	
MTCO1P31	
GUCY1B2	
FRG2EP	
ADCY2	34686_at
ADCY2	
COG5	34737_at
COG5	
TCEA2	
TCEA2	745_at
APTX	
H2AZP1	
PWP2	
PWP2	37555_at
LINC02645	
RNA5SP29	
DLEU1	33791_at
DLEU1	
LINP1	
LINC02662	
LINC02676	
ELOCP3	
LINC02162	
LINC02196	
ITIH2	36584_at
ITIH2	
MARCHF11	
DYRK1A	827_s_at
DYRK1A	36947_s_at
DYRK1A	36946_at
DYRK1A	1512_at
DYRK1A	33946_at
DYRK1A	
RPL5P31	
PRELID3BP2	
MIR5693	
FAM124A	
MARCHF6	
MARCHF6	32802_at
MARCHF6	40338_at
MARCHF6	38070_at
GPR22	
C1QTNF9B	
DUS4L	
DUS4L	38346_at
ANKRD20A19P	
SLC16A2	36590_at
IPO7P2	
PCOTH	
ZAR1L	
DTD2	
GATA5	
IFIT1P1	
N4BP2L1	1527_s_at
N4BP2L1	34240_s_at
N4BP2L1	34239_at
N4BP2L1	
MCPH1	
DEFA8P	
ZNF512B	
LINC01545	
PSMC6	949_s_at
PSMC6	
RPL35P6	
OR7E8P	
MSRA-DT	
TERF1P7	
SGCZ	
LDHBP2	
GOT2P6	
MTND1P31	
MTHFD1P1	
ZCCHC13	
TOMM20P4	
FGD1	38200_at
LBP	35013_at
LZTS1-AS1	
LINC03019	
MFHAS1	36213_at
BCAP29	38552_f_at
BCAP29	
PRR14L	
MCPH1-AS1	
FAM217B	
LINC02663	
KRT8P27	
MTND1P37	
PINX1	
MAGED2	34860_g_at
MAGED2	34859_at
MAGED2	
MIR8055	
AGPAT5	
NUDT5	
RBL1	1907_at
RBL1	
RTL6	
	34459_at
ATP8A2P2	
ARL2BPP3	
NDE1P2	
PRR34-AS1	
SMAD9	32986_s_at
SMAD9	
MIR4659A	
MIR4659B	
FAM83F	
	34040_s_at
LINC00519	
TRAJ51	
HMGN2P6	
DEFB1	39660_at
CNOT7	
RPS3AP46	
SMAD9-IT1	
DEFA6	34622_at
LAMTOR3P1	
RPL29P28	
EIF4A1P5	
CSNK1A1L	
KLF8	
TMEM272	
PSMA3P1	
RRAGAP1	
CTAGE3P	
MTCO1P30	
PVALB	37613_at
PPIAP5	
RFXAP	40970_at
RFXAP	
ROPN1L	
TRAJ57	
MAD2L1P1	
LINC02322	
TRPC4	
DEFA9P	
NOVA1-DT	
DEFA10P	
DEFA1	31506_s_at
DEFA1	31793_at
CCDC3	
SFR1P2	
HNRNPH3P1	
GNRHR2P1	
THAP12P1	
DEFA1B	31506_s_at
LRRC9	
PSMA1P1	
PCNPP4	
AGGF1P10	
XAGE2	
DEFA3	31506_s_at
DEFA3	31793_at
RAB22A	33716_at
RAB22A	
FAM238B	
ALG12	
TPMTP4	
SAR1AP4	
HMGN1P20	
FGF16	
KIN	37778_at
KIN	
LINC00971	
P2RY10BP	
MMADHCP1	
CPXCR1	
IRX4	
RPS3AP30	
HMGN1P34	
UCKL1-AS1	
SNRPCP6	
EDN3	37865_at
EDN3	788_s_at
SNRPCP17	
RPS3AP33	
LINC02025	
OR7E154P	
ADAM24P	
WBP1LP3	
HDAC8	
LINC02099	
KRT8P37	
	33676_at
UPF2	35722_at
UPF2	
DEFB106A	
EGR3	40375_at
EGR3	
DEFB104A	
SYNGR1	
SYNGR1	35354_at
GPR137C	
SPAG11A	
SPAG11A	39606_at
DEFB103A	
EBF2	
PRDM15	
PCNX4	39813_s_at
PCNX4	
ZNF705B	
RPL7P3	
PIEZO1P1	
HMGB3P3	
USP17L4	
RPRD1B	
USP17L3	
DEFB109B	
SEMA5A	36061_at
SEMA5A	35204_at
SEMA5A	
FAM90A20P	
LLGL1	33200_at
LLGL1	804_s_at
FAM90A3P	
LINC02970	
ENPP7P12	
SEZ6L	32968_s_at
SEZ6L	33735_at
SEZ6L	
ADRM1	38808_at
ADRM1	
DEFB109A	
ZNF705D	
DEFB108E	
RNA5SP254	
DEFB131C	
GCNT2	35033_at
GCNT2	
DEFB131E	
DEFB134	
LINC01516	
ACBD7	
DEFB135	
MIR4307HG	
DEFB136	
MTND2P16	
RPP38	41040_at
RPP38	
OR7E161P	
FDFT1	34848_at
PHF20	
PHF20	35050_at
PHF20	32884_at
VPS37A	
RPL30P7	
CCDC171	
ITIH5	
SUB1P1	
LINC00871	
GATA4	34241_at
GATA4	
MYO10	35362_at
MYO10	
SIX1	40004_at
SIX1	
F7	33520_at
F7	
FLII	33133_at
FLII	
C8orf48	
GCNT2P1	
C6orf52	
PPP2R5E	32734_at
PPP2R5E	
STC1	41354_at
STC1	
B4GALT1-AS1	
UHRF2	
	854_at
TRIM35	
PAK1IP1	
FAM167A-AS1	
FRMD4A	
RASL11A	
NBEAP1	
RN7SL288P	
RN7SKP5	
ABITRAMP1	
LINC00563	34026_at
RNU2-6P	
RNU6-68P	
PPP1R2P4	
RNU6-1084P	
RN7SL293P	
OR7E101P	
TDH	
COX17P1	40427_at
FKBP1AP3	
CPB2	37172_at
CPB2	
TMEM14C	
BCAR1P2	
IGHD1OR15-1A	
FAM30C	
OR4N3BP	
IGHD5OR15-5A	
SPATA31E2P	
PWRN1	
MTND6P19	
COX7BP2	
MAK16	37297_at
MAK16	
LLPHP1	
MRPS11P1	
GGT7	
LCP1	37023_at
LCP1	
SLC35G5	
MTMR9	
LINC00529	
RPL19P13	
LPL	
LPL	41209_at
MRC1	36908_at
MIR598	
OR11H3P	
MIR1322	
OR11J6P	
IGHD2OR15-2A	
SOX7	
IGHV1OR15-1	34098_f_at
C8orf74	
RPS8P10	31583_at
HMGB3P23	
RPS3AP54	
SH3GL2	
SH3GL2	40378_at
LINC02346	
	1245_i_at
	1560_g_at
FAM30B	
LINC02250	
RNA5SP252	
MIR4286	
HMBOX1	
	34098_f_at
SLC6A14P3	
ATP5PDP3	
NOP56P2	
IFNA7	1580_f_at
IFNA7	1022_f_at
SAMD10	
LINC03022	
OR2S1P	
SIAH3	
RPS26P2	
OR11K1BP	
CHCHD4P3	
LURAP1L	
ZYX	
ZYX	36958_at
LINC01198	
RNU6-729P	
LINC01627	
MIR5692B	
LINC01400	
ERP29P1	
PKNOX1	
HMGN2P16	
MIR1292	
SNORD110	
SNORA51	
LINC02851	
SNORD86	
SNORD56	
LINC02331	
CKS1BP2	37347_at
NFIB-AS1	
SNORD57	34882_at
LINC00929	
MIR8062	
RNU6-278P	
SELENOOLP	
RN7SL864P	
RNU6-228P	
RNU6-1159P	
ARL5B	
RNU6-115P	
RNA5SP475	
DDHD1-DT	
RN7SKP69	
RNU6-27P	
RN7SL547P	
RNF2P1	
RN7SL607P	
RNU1-131P	
STYX	
RNA5SP474	
NALCN	
BOLA3P4	
RN7SKP111	
RNU6-1257P	
ASS1P12	
RN7SL561P	
SLC4A1APP1	
RNU105B	
RN7SL690P	
KCTD9P3	
RN7SKP140	
RNU6ATAC17P	
RBPJP6	
RNU1-23P	
RNA5SP528	
RN7SL594P	
IFT27	36076_g_at
IFT27	36077_at
IFT27	36075_at
IFT27	
RNF38	
MIR6870	
MIR4755	
RNU4-40P	
RNU6-937P	
CUBN	35416_at
CUBN	
CUBN	35417_at
RNU6-639P	
RNA5SP532	
RN7SL116P	
RN7SL237P	
RN7SL680P	
MIR663A	
MIR3616	
RNU7-144P	
RNU6-919P	
RNU6-347P	
LINC02212	
RNU7-6P	
SNORA71A	
IGHD5OR15-5B	
SNORA71C	
SNORA71D	
RNU6-147P	
RNU6-497P	
OR4N3P	
RPL36AP21	39856_at
RPL36AP21	
RNA5SP487	
RPL5P1	
RNU6-1146P	
MIR3194	
RNU6-929P	
RNU7-14P	
OR11J7P	
RNU4ATAC7P	
RN7SKP184	
LINC02211	
RN7SL197P	
LINC01193	
RNU7-141P	
RN7SKP185	
MIR646	
MIR4533	
MIR548AG2	
RN7SKP100	
MIR1-1	
MIR133A2	
RN7SKP33	
MIR647	
RPL32P14	
RN7SL170P	
LINC02116	
ATP5F1CP1	
H3P22	
MIR1914	
L3HYPDH	
MIR4758	
RNU6-563P	
RNU1-134P	
MED10	
MIR941-4	
MIR941-5	
MIR941-1	
MIR941-2	
MIR941-3	
RBPJL	
MIR124-1HG	
MIR124-1HG	34526_s_at
MIR124-1HG	34528_at
MIR124-1HG	34527_r_at
EIF1AXP2	
LINC02221	
LINC02319	
NAT2	38912_at
C14orf39	
CMBL	
IGHV1OR15-3	
IGHV3OR15-7	
MIR124-1	
CBS	38474_at
CBS	
MIR6892	
EPHA1	
EPHA1	1108_s_at
PDGFB	1573_at
PDGFB	
IGHV1OR15-6	
MIR597	
IGHD2OR15-2B	
GRAMD4P5	
SDC4	35844_at
TAF11L4	
PPP1R3B-DT	
SLC18A1	31403_at
SLC18A1	
H3P21	
RPL17P2	
DAP-DT	
SYS1	
LINC02290	
UPRT	
MTRR	
MTRR	31883_at
MIEF2	
GPR158-AS1	
BOP1	35615_at
BOP1	
SIX6	32364_at
MPHOSPH10P4	
TRDMT1	41067_at
TRDMT1	
MPPED1	38215_at
MPPED1	
GOLGA6L6	
SYS1-DBNDD2	
SERPINE4P	
SIX4	
EPHA1-AS1	
GABRA5	39321_at
GABRA5	
TAS2R62P	
TAS2R60	
TAS2R41	
OR2R1P	
TP53TG5	33025_at
TP53TG5	
PRKCH-AS1	
OR10AC1	
PAICSP5	
LINC01500	
NFX1	34667_at
NFX1	
CTAGE15	
TUBB4BP8	
RNU6-267P	
CTAGE6	
NDUFB4P10	
LINC01711	
SETP4	
CCDC117	
LINC01284	
STX16	41121_at
STX16	39523_at
STX16	40885_s_at
STX16	
LINC00555	
RNU6-526P	
CCDC168	
RNU6-1151P	
TEX30	41860_at
GMDS	35071_s_at
GMDS	
USP27X-DT	
TOP3A	
TOP3A	41004_at
TOP3A	1028_at
MTND2P25	
HDX	
TCAF2P1	
SALL4P7	
OR2F2	31424_at
OR2F2	31425_g_at
PPM1A	
PPM1A	36501_at
PPM1A	857_at
PPM1A	36435_at
OR2F1	31425_g_at
OR2F1	31921_at
OR2F1	
CAPZA1P5	
OR2Q1P	
SLC16A1P1	
RNU7-55P	
MIR4660	
OR6B1	
RPL10P19	
RNU6-682P	
MFHAS1	
POGLUT2	
PARVG	
RN7SL178P	
LINC02950	
CCDC175	
FAM86B3P	
LONRF2P3	
CTDSPL2P1	
CALM1P1	
CORO1CP1	
EIF3MP1	
UBE2V1P7	
CYCSP43	
LINC01496	
NAP1L6P	
ALG1L13P	
UBE2V1P9	
BIVM-ERCC5	2064_g_at
BIVM-ERCC5	2063_at
BIVM-ERCC5	
PABPC5	
SCOCP1	
SLC10A1	34035_at
PABPC1L2A	
SRIP2	
EXOC2	
ARL13A	
HSF1	40200_at
HSF1	244_at
HSF1	
FAM90A9	
SNHG14	34842_at
SNHG14	35490_at
SNHG14	
SNHG14	36074_at
DEFB107A	
C1QL3	
BIVM	
C5orf49	
MINDY3	
LINC01017	
DHRS7	39814_s_at
DHRS7	
HSPD1P1	37720_at
EEF1A1P15	
LINC01513	
LINC02112	
BRWD3	
HSPD1P2	
FTLP4	
DEFB4A	32464_at
ALG3P1	
MTCO2P30	
USP17L7	
UBE2V1P12	
USP17L2	
NUP155	34659_at
NUP155	
GAS6-AS1	
SMARCA2	
SMARCA2	40962_s_at
SMARCA2	40961_at
GAS6	1597_at
GAS6	1598_g_at
GAS6	37658_at
GAS6	
DEFB109D	
RPS3AP34	
ZNF33BP1	
ARMC3	
RPL7AP65	
RPL21P121	
RPL35AP36	
PRR34	
LINC01394	
OR7E15P	
SMCR8	
OR7E10P	
DGAT1	34255_at
DGAT1	
FUT10	
BIK	2011_s_at
MIR5692A2	
FOXF2-DT	
SHMT1	34738_at
SHMT1	712_s_at
MIR6778	
EVPLL	
HMGN2P28	
PCNX1	32012_at
PCNX1	36486_at
PCNX1	
COPS8P1	
RPSAP15	256_s_at
EIF4A1P10	1199_at
FAM50B	34957_at
SHC1P1	
EDA	37140_s_at
EDA	37139_at
EDA	
GAS6-DT	
MRPL51P2	
TTLL1	41039_at
CRYAA	33311_at
CRYAA	33313_g_at
CRYAA	33312_at
LINC00454	
RNU6-1004P	
EEF1E1	
EEF1E1	40587_s_at
EEF1E1	40588_r_at
TBC1D3P4	
UNC5D	
LINC00452	
LINC02076	
KRT17P5	
CHM	32867_at
CHM	
U2AF1	36517_at
U2AF1	
LINC00565	
NUDT15	
STX16-NPEPL1	
MED4	
YWHAEP2	
KRT17P2	
SEPTIN14P6	
NPEPL1	
BLOC1S5	
MIR3926-1	
MIR3926-2	
KRT16P1	
LINC00681	
STAU2P1	
TRMT9B	
PIN4	
PIN4	41616_at
RNU6-842P	
	37951_at
MED4-AS1	
POLR2KP2	
PSME2P2	
RB1	
RB1	1905_s_at
RB1	2044_s_at
RB1	1900_at
RB1	1571_f_at
RB1	1672_f_at
LINC01108	
KRT16P4	
RPL5P20	
ARPC3P5	
TNPO1P2	
LGALS9C	38091_at
LGALS9C	
OFCC1	
HNRNPA1P25	
PPATP2	
TTC3P1	
HNRNPDLP3	
FCF1P9	
RPS29P28	31397_at
RIBC2	34971_at
RIBC2	
MIR6848	34255_at
SCRT1	
TMEM249	
PIEZO1P2	
TEX101P1	
STIP1P3	
KAT7P1	
B3GNT2P1	
MIR296	
MIR298	
SGCG	34578_at
POF1B	
USP6NL-AS1	
RPP38-DT	
MRPL49P2	
ACTR3BP5	
LINC02554	
PABPC1P12	
RPS24P13	
NSUN6	
ACTBP15	
NELFCD	
PKDREJ	
RBM26	
LINC02153	
LINC02556	
SLC52A2	
KLHL4	
KLHL4	36700_at
ANKRD54	
MSR1	39981_at
MSR1	
MSR1	39982_r_at
SETD4	36081_s_at
SETD4	
DUXAP3	
ZNF37CP	
LINC03028	
PIP4K2A	35310_at
PIP4K2A	37412_at
PIP4K2A	
GPHB5	
ATP5F1AP4	
ADAM21P1	
SALRNA1	
MNAT1	
MNAT1	38387_at
MNAT1	1688_s_at
FBXL7	37205_at
FBXL7	
DCLK1	38957_at
DCLK1	35400_at
DCLK1	
RPS23P5	
PMCHL1	
CAPZA1P3	
VDAC1P1	40198_at
VDAC1P1	31608_g_at
WDR82P1	
RPL6P29	
WBP11P3	
ATP5MKP1	
ASS1P1	
LINC00879	
HNRNPA1P27	
TMEM170B	
LINC02220	
NBAT1	
HPRT1P2	
CITED1	35976_at
CITED1	36615_at
MARK2P5	
FTH1P10	31697_s_at
LINC02226	
LNC-LBCS	
FBXL6	
ANKRD33B	
C10orf67	
NOS2P2	
FUNDC2P4	
CCDC177	
TSPO	32806_at
TSPO	
SPEF2	
LINC01303	
RPS4XP11	
AKR1C4	
AKR1C4	35482_at
C14orf28	
EFNB2	34334_at
EFNB2	34335_at
IGBP1-AS2	
PSMC1P11	
NOX1	32972_at
NOX1	32973_s_at
DNAJB6P2	
LINC00581	
JARID2-DT	
EEF1E1-BLOC1S5	
DPYSL2	40607_at
DPYSL2	
DGKH	
RPL35P8	
PPIAP29	33667_at
MRPL42P2	
LINC00518	
INPP5J	
INPP5J	38960_at
DCAF4	
DCAF4	32935_at
ADCK5	
KDM1B	
LINC01982	
TUBB1	
MALRD1	
ATP5F1E	
COLEC12	
MTCO1P3	
COL18A1-AS2	
COL18A1-AS1	
MIR6815	
SLC19A1	
SLC19A1	33135_at
PRELID3B	
LINC01517	
RUVBL1	34956_at
RUVBL1	40124_at
RUVBL1	
NUDT10	
TWSG1-DT	
CPSF1	33132_at
CPSF1	
LINC01892	
ABT1	
ARHGAP28-AS1	
ST8SIA6	
USP37P1	
LINC01928	
RPS7P14	
FOXN3P2	
BLOC1S5-TXNDC5	
RPS6P26	
SLC25A3P3	
MAGEE1	
	34893_at
MORF4L1P6	
ATG4AP1	
TCEAL9	
LINC00526	
MRPS16P2	
GDF5-AS1	
PPIAP14	
CHMP1B	
GDF5	36356_at
SPTLC1P2	
PIP5K1P1	
BMP6	39279_at
BMP6	1733_at
BUD31P2	
PAICSP7	
IMPA2	
IMPA2	36496_at
RPSAP8	
GAD2	32280_at
GAD2	32279_at
GAD2	
PBDC1	
MIR1289-1	
CEP250	
CEP250	35206_at
COL18A1	37653_at
COL18A1	
TXNDC5	
MRPS22P1	
DIAPH2-AS1	
DIAPH2-AS1	31388_at
RNF19BPX	
RTL3	
LINC02209	
JKAMP	
POMPP1	
BRAFP1	40306_at
NUDT19P2	
SERBP1P4	
USP12PX	
PDK1P2	
MTND6P2	
HSPD1P15	
LINC02146	
MTHFD2P6	
HSPA8P13	
RNU6-823P	
EEFSEC	
ADAM7-AS1	
RICTOR	
IGHD4OR15-4B	
BMS1P16	
ZNF322	
THBS1-AS1	
NF1P2	
SLC25A37	
PDCD6IPP1	
DLGAP1	40388_at
DLGAP1	139_at
DLGAP1	
IGHV1OR15-9	
TGIF2LX	
ST13P18	
ACTR3P2	
KRT18P11	
NBDY	
ARMH2	
DZIP1	36521_at
DZIP1	
	39744_at
RPL6P18	
DUSP4	1788_s_at
VN1R13P	
HDGFL1	
TUBAP11	
KPNB1P1	
MIR5689HG	
DLGAP5P2	
RPL6P17	
KIF4CP	
IGHD3OR15-3A	
FOXQ1	
OOEPP1	
RNF182	
MKX	
ZFYVE19	
HMGB1P32	
SH3BGRL	39714_at
ERI1	
EEF1A1P40	
RPL7AP36	
GTF3C6P1	
TRAPPC13P1	
RPP40	37471_at
RPP40	
CSGALNACT2P1	
TTLL1-AS1	
HK2P1	
GDF2	
ATP5MC2P4	
SCUBE1-AS2	
TRMT2B	
LINC00207	
HSD17B7P2	
LINC02949	
MBOAT4	
RHOJ	
EP300	33896_at
EP300	551_at
EP300	
DOCK5	
C20orf173	
SUCLA2	
SUCLA2	40893_at
MIR939	33132_at
MIR1234	
MIR6849	
SLC39A4	
RPL36P4	
FER1L4	
ODAD2	
SOCS4	
KCNH5	
NSA2P3	
HNRNPA1P26	
BRDTP1	
LRRFIP2P1	
NDUFA5P7	
TDGF1P4	
TEX13B	
LINC02543	
DEK	38992_at
DEK	
BRD7P1	
HNRNPDLP1	
C3orf49P1	
RN7SKP205	
VDAC1P3	31608_g_at
VDAC1P3	31607_at
XRCC6P5	
LINC00596	
UQCRBP1	
XKRX	
DHRS4-AS1	
PWRN2	
MAGEE2	
TERF1P4	32257_f_at
TERF1P4	1342_g_at
SERBP1P1	40440_at
CCNB1IP1P3	
MKRN4P	
ATP10A-DT	
NT5DC1P1	
GOLGA8CP	
SLC6A14	
MTRF1LP2	
GSDMC	
DHRS4	
IGHD1OR15-1B	
VPS28	
SUSD6	38393_at
SUSD6	
SINHCAFP3	
ANP32AP1	
LINC02948	
HMBOX1-IT1	
BMF	
LINC01521	
CCT3P1	
HMGB1P23	
DNAJB7	
	32433_at
IGLV3-13	
JTBP1	
RBX1	
	1267_at
XK	40647_at
PARP1P2	
AKR1B1P5	
DEFB131D	
MED14OS	
PTTG4P	
RAP1AP	
SERPINA7P1	
RPL34P36	
RBM8B	
RANBP1P1	
PCNX4-DT	
EZHIP	
UCHL3	37244_at
UCHL3	
IGLJ6	
RPL7AP6	
YES1P1	
NLRP2B	
TUBBP3	
RPL10P18	
AP2B1P1	
ZNF770	
LEPROTL1	38985_at
LEPROTL1	
ARHGAP6	32462_s_at
ARHGAP6	32463_at
ARHGAP6	
NCOA4P1	
SIPA1L1-AS1	
PLA2G3	
LINC02895	
RPL21P7	
	37796_at
TVP23BP1	
CHEK2P5	
BNIP3P5	
FUT8-AS1	
LINC02853	
RPL23AP71	
ITGA8	41005_at
ITGA8	
PATZ1	34299_at
PATZ1	
PATZ1	34300_at
SLC20A1P3	
HERC2P3	
EGLN3	
LINC00240	
MIR548A1HG	
LINC01622	
ADRA1A	36716_at
ADRA1A	
ADRA1A	36715_at
COP1P1	
STMND1	
LMO7-AS1	
FAM3B	
FAM204CP	
RN7SKP9	
ASNSP6	
H2AZP3	
GPR183	931_at
RAB31	33371_s_at
RAB31	33372_at
RAB31	
THAP12P5	
GUSBP2	
SNORA31	
TAF11L11	
RCN1P2	40556_at
LINC02239	
SLC25A30	
IGLC6	
LINC00899	
PLCXD3	
EFCAB6-AS1	
RPL37P1	
NDUFS3	35264_at
NDUFS3	
DUSP26	
SHISAL1	
FXYD6P1	
CDYL-AS1	
CICP9	
HNRNPRP1	
LINC02658	
SLC9B1P3	
RN7SKP271	
RNU6-759P	
LINC02114	
RBM12	41211_at
RBM12	
SCUBE1-AS1	
IGLJ5	
LINC02111	
BTN2A1	32673_at
BTN2A1	
SLC39A12	
LINC01656	
	31583_at
LINC02306	
XPNPEP3	
MTND5P41	
SPTSSA	33400_r_at
SPTSSA	33399_at
NKX3-1	445_at
NKX3-1	
LINC02241	
DHRS4L1	
FITM2	
UBE2CP2	
LINC00470	
R3HDML-AS1	
CARMIL3	
ATP6V1B2	40568_at
ATP6V1B2	
FOS	1916_s_at
FOS	2094_s_at
FOS	1915_s_at
FOS	
HNF4A-AS1	
LINC01620	
RPL37AP1	
TTPAL	
THBS1	
THBS1	115_at
THBS1	867_s_at
MYCLP2	
TATDN2P1	
SLC25A30-AS1	
GTF3AP2	
TPT1	31584_at
HNRNPUP1	
RPL9P6	
NXF3	
PLEKHD1	
IGLC5	
ADAMTS1	
ZNRF3	
PTPMT1	
ZNF415P1	
LINC00840	
COX6CP3	
SERINC3	
SERINC3	37007_at
AQR	41712_at
AQR	
CHMP1B-AS1	
YBX1P1	32340_s_at
LINC01254	
OR2E1P	
KBTBD4	
CUBNP1	
YES1	1674_at
YES1	
LINC02561	
LTBP2	37906_at
LTBP2	
ANKH-DT	
HIVEP1	
HIVEP1	35251_at
KCTD9	
LINC01019	
AMD1P1	
CPNE6	40295_at
CPNE6	
LINC02123	
PACSIN2	35886_at
PACSIN2	
ZFR	33148_at
ZFR	40610_at
ZFR	
ZFAND4	
ABHD13	
RNA5SP39	
HCFC2P1	
ZFP1	
RNU5E-10P	
FAM180B	
ESD	38375_at
ESD	
C1QTNF4	
RPS4XP18	
MTCH2	
PKIG	34376_at
PKIG	
VN1R12P	
CTRB2	36141_at
MAPRE2	
MAPRE2	37406_at
CTRB1	36141_at
GFOD1	
ATG4A	37957_at
ATG4A	
RNF170	
NRSN1	
BCAR1	
MIS18A	
HTR2A	35471_g_at
HTR2A	35469_at
HTR2A	35470_at
MIS18A-AS1	
MRAP-AS1	
MRAP	
HTR2A-AS1	
DIAPH3-AS2	
ZNF519P3	
RNY4P28	
LINC00434	
TARDBPP2	
GJD2	
RNA5SP31	
EIF4A1P6	
LINC01668	
TDRD3	32768_at
TDRD3	
TTBK2-AS1	
JARID2	34782_at
JARID2	
WDR4	
OCA2	36800_at
LINC02675	
RPL17P33	
	32337_at
RPL21P93	32337_at
LOXL2	33127_at
LOXL2	
AGBL2	
MYO3A	
RN7SL156P	
TLDC2	
ELOVL2	39642_at
RNU6-71P	
SPART	39852_at
SPART	
MRPL35P1	
MTCO2P33	
POM121L6P	
RPS3AP3	
RPS27AP3	
RN7SL443P	
OSER1	36934_at
LINC00589	
PPIAP57	
JPH2	
LZTS1	
	37551_at
LINC01255	
SLC38A9	
ISCA2	
NRL	33159_at
NRL	
RPL10AP2	
RNU6-743P	
CDCA2	
EIF4EBP2P1	
SRSF6	35809_g_at
SRSF6	
SRSF6	35808_at
PPP4R1-AS1	
BOD1P2	
JDP2	
PCK2	
PCK2	37188_at
	34243_i_at
	34244_r_at
RNU6-1251P	
AWAT2	
KLHL14	
IFT52	
OR1Q1BP	
ZNF519P2	
EIF2AK4	
TBC1D22A-AS1	
IGLC7	
IGLJ7	
DLGAP1-AS5	
HNRNPA1P37	31463_s_at
PSMD10	37350_at
PSMD10	
HCG4B	35602_at
OR2W1-AS1	
LINC01478	
RPL27AP	
